id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon,state_code
815,Reddam House,56 Mitchell Street,North Bondi,2026,Independent,Combined,-33.885307,151.276779,NSW
816,MacKillop Catholic College,91 Sparks Road,Warnervale,2259,Catholic,Combined,-33.243318,151.469158,NSW
817,Holy Family Primary School,11 Emert Parade,Emerton,2770,Catholic,Primary,-33.744627,150.805854,NSW
818,Holy Spirit Catholic Primary School,25 Main Street,Carnes Hill,2171,Catholic,Primary,-33.925689,150.849187,NSW
819,Barrenjoey Montessori School,2 Tasman Road,Avalon,2107,Independent,Primary,-33.6325,151.333,NSW
820,St Columba Anglican School,43-53 Major Innes Road,Port Macquarie,2444,Independent,Combined,-31.46297,152.87838,NSW
821,Macleay Vocational College,1-13 Reginald Ward Street,South Kempsey,2440,Independent,Secondary,-31.098508,152.822931,NSW
822,Trinity Anglican College - Albury,421 Elizabeth Mitchell Drive,Thurgoona,2640,Independent,Combined,-36.030741,146.984214,NSW
823,Macquarie Anglican Grammar School,11 Currawong Road,Dubbo,2830,Independent,Combined,-32.249321,148.57428,NSW
824,St Hurmizd Assyrian Primary School,7-9 Greenfield Rd,Greenfield Park,2176,Independent,Combined,-33.871267,150.891309,NSW
825,St Christopher's Catholic Primary School,205 Heathcote Rd,Holsworthy,2173,Catholic,Primary,-33.952119,150.951725,NSW
826,Green Valley Islamic College,264 Wilson Road,Green Valley,2168,Independent,Combined,-33.898208,150.867092,NSW
827,Italian Bilingual School,111 Bowden Street,Meadowbank,2112,Independent,Primary,-33.886895,151.156188,NSW
828,St Peter's Anglican College - Broulee,61 Train Street,Broulee,2537,Independent,Combined,-35.841898,150.170365,NSW
829,John XXIII Catholic Primary School,160 Perfection Avenue,Stanhope Gardens,2768,Catholic,Primary,-33.705583,150.92702,NSW
830,St Mary's Primary School,171 Turf Street,Grafton,2460,Catholic,Primary,-29.694692,152.935422,NSW
831,St Catherine's Catholic College,30-40 Combo Lane,Singleton,2330,Catholic,Combined,-32.559208,151.180419,NSW
832,Xavier High School,294 Fallon Street,Albury,2640,Catholic,Secondary,-36.062669,146.935126,NSW
833,St Mary's College,151 Bloomfield Road,Gunnedah,2380,Catholic,Secondary,-30.98,150.259969,NSW
834,Manning Valley Anglican College,94 Princes Street,Cundletown,2430,Independent,Combined,-31.898902,152.530176,NSW
835,Avondale School,119 Avondale Road,Cooranbong,2265,Independent,Combined,-33.063698,151.464957,NSW
836,Wollondilly Anglican College,3000 Remembrance Drive,Tahmoor,2573,Independent,Combined,-34.229257,150.591102,NSW
837,Shellharbour Anglican College,Shellharbour Road,Dunmore,2529,Independent,Combined,-34.594975,150.84644,NSW
838,Brightwaters Christian College,82 Bulgonia Road,Brightwaters,2264,Independent,Primary,-33.111795,151.543076,NSW
839,Al Sadiq College,114 Waterloo Road,Greenacre,2190,Independent,Combined,-33.906744,151.025185,NSW
840,Lakes Grammar - An Anglican School,Cnr Sparks Road and Albert Warner Drive,Warnervale,2259,Independent,Combined,-33.246315,151.450845,NSW
841,ALESCO Senior College,100 Laman Street,Cooks Hill,2300,Independent,Combined,-32.929363,151.768075,NSW
842,Corpus Christi Catholic High School,Cnr Industrial Road and Moore Street,Oak Flats,2529,Catholic,Secondary,-33.786338,151.032553,NSW
843,Clancy Catholic College,Carmichael Drive,West Hoxton,2171,Catholic,Secondary,-33.930213,150.844453,NSW
844,St Clare's Catholic High School,175 Buckwell Drive,Hassall Grove,2761,Catholic,Secondary,-33.734495,150.840445,NSW
845,St Agnes Catholic High School,Evans Road,Rooty Hill,2766,Catholic,Secondary,-33.772175,150.846102,NSW
846,Loyola Senior High School,91 North Parade,Mount Druitt,2770,Catholic,Secondary,-33.768032,150.813967,NSW
847,Moama Anglican Grammar School,2 Kirchhofer Street,Moama,2731,Independent,Combined,-36.100468,144.75067,NSW
848,Australian Performing Arts Grammar School,255 Broadway,Glebe,2037,Independent,Secondary,-33.874684,151.181453,NSW
849,St Mark's Catholic College,160 Perfection Avenue,Stanhope Gardens,2768,Catholic,Secondary,-33.705685,150.929069,NSW
850,Woodbury,Building 11  92 Seven Hills Road,Baulkham Hills,2153,Independent,Special,-33.764333,150.97966,NSW
851,Ebenezer Christian College,441 Blacktown Road,Prospect,2148,Independent,Combined,-33.806401,150.926511,NSW
852,Warakirri College,Level 1  1-3 Hamilton Road,Fairfield,2165,Independent,Secondary,-33.814467,150.999558,NSW
853,Saint Mary MacKillop Colleges Limited,20 Hely Ave,Wagga Wagga,2650,Independent,Combined,-35.110911,147.352081,NSW
854,Hunter Trade College,Cnr Mount Dee Road and Junction Street,Telarah,2320,Independent,Secondary,-32.739603,151.537192,NSW
855,Newman Senior Technical College,Boundary Street,Port Macquarie,2444,Catholic,Secondary,-31.427003,152.870033,NSW
856,Orange Anglican Grammar School,7 Murphy Lane,Orange,2800,Independent,Combined,-33.280722,149.098433,NSW
857,Wollemi College,14 Gipps Street,Werrington,2747,Independent,Secondary,-33.7646,150.7553,NSW
858,Unity Grammar College,70 Fourth Avenue,Austral,2179,Independent,Combined,-33.944694,150.802523,NSW
859,Mother Teresa Primary School,2a Darcy Road,Westmead,2145,Catholic,Primary,-33.803397,150.984154,NSW
860,Sydney Adventist School - Auburn,3 Macquarie Road,Auburn,2144,Independent,Primary,-33.8749,151.079,NSW
861,St Joseph's Regional College,College Drive,Port Macquarie,2444,Catholic,Secondary,-31.429396,152.898328,NSW
