id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon,state_code
5449,Precious Cargo - Lockleys Pty Ltd,390 Henley Beach Road,Lockleys,5032,Non-Government,Private CCCs,-34.92666,138.535421,SA
5450,Mt Barker Waldorf School Preschool,27 Sims Road,Mount Barker,5251,Non-Government,Other Grant Funded Preschools,-35.082635,138.877927,SA
5451,Islamic College of SA ELC,22A Cedar Avenue,West Croydon,5008,Non-Government,Other Grant Funded Preschools,-34.892168,138.563822,SA
5452,St Peters Woodlands Grammar ELC,39 Partridge Street,Glenelg,5045,Non-Government,Other Grant Funded Preschools,-34.98425898,138.5168471,SA
5453,Willunga Waldorf School Kindergarten,1 Jay Drive,Willunga,5172,Non-Government,Other Grant Funded Preschools,-35.269077,138.542595,SA
5454,Carlton Preschool,Rupert Street,Port Augusta,5700,Government,Child Parent Centres,-32.48769,137.776631,SA
5455,Lake Windemere B-7 Child Ct Occ Care,17 Uraidla Avenue,Salisbury North,5108,Government,Occasional Care in Preschools,-34.740607,138.620474,SA
5457,Central Metro Family Day Care Scheme,20 Beatty Street,Flinders Park,5025,Government,Family Day Care Schemes,-34.9113692,138.5494428,SA
5458,Tenison Woods College EL & Comm Ctre,Shepherdson Road,Mount Gambier,5290,Non-Government,Other Private CCCs,-37.828633,140.755522,SA
5459,The Hills Montessori School Inc OHSC,12 Anderson Road,Aldgate,5154,Non-Government,Out of School Hours Care,-35.012925,138.748722,SA
5460,Accademia Di Montessori Pre Newton,77 Newton Road,Newton,5074,Non-Government,Private CCCs,-34.87985,138.673928,SA
5461,Brooklyn Park Private Kindergarten,21 Lipsett Terrace,Brooklyn Park,5032,Non-Government,Private CCCs,-34.929949,138.549261,SA
5462,John Hartley School OSHC Camp Aust,199 Peachey Road,Smithfield Plains,5114,Non-Government,Out of School Hours Care,-34.679553,138.672641,SA
5463,Pinnacle College - Eliz East Campus,10 Anderson Street,Elizabeth East,5112,Non-Government,Primary/Secondary Schools,-34.721292,138.677818,SA
5465,Lockleys Children's Centre Occ Care,57 Malurus Avenue,Lockleys,5032,Government,Occasional Care in Preschools,-34.920591,138.537668,SA
5467,Sherpa Kids Lockleys,29 Elston Street,Brooklyn Park,5032,Non-Government,Out of School Hours Care,-34.930203,138.535095,SA
5469,Sherpa Kids St Joseph's School Pt Li,14 Mortlock Terrace,Port Lincoln,5606,Non-Government,Out of School Hours Care,-34.726268,135.855566,SA
5472,Sherpa Kids Navigator College Pt Lin,61 Windsor Avenue,Port Lincoln,5606,Non-Government,Out of School Hours Care,-34.74341301,135.8600549,SA
5473,Disability Unit Seaford Rise PS,Grand Boulevard,Seaford Rise,5169,Government,Disability Units,-35.199247,138.487561,SA
5474,Montessori House Morphettville,131a Morphett Road,Morphettville,5043,Non-Government,Private CCCs,-34.986432,138.539314,SA
5475,Blackfriars Priory School ELC,26 Highbury Street,Prospect,5082,Non-Government,Private CCCs,-34.8954468,138.597092,SA
5476,The Ranges Infant Toddler Centre,6 Druid Avenue,Stirling,5152,Non-Government,Private CCCs,-35.0049248,138.715564,SA
5477,Watervale Primary School OSHC,27 Main North Road,Watervale,5452,Government,Out of School Hours Care,-33.9608987,138.644971,SA
5479,St Michael's Lutheran PS OSHC CampA,6 Balhannah Road,Hahndorf,5245,Non-Government,Out of School Hours Care,-35.0284239,138.811852,SA
5480,Saint Spyridon College OSHC Camp Aus,52 Oxford Terrace,Unley,5061,Non-Government,Out of School Hours Care,-34.950166,138.608736,SA
5481,Emali Early Learning Ctr - Brighton,397 Brighton Road,Brighton,5048,Non-Government,Private CCCs,-35.01305781,138.5222701,SA
5482,Seaford Meadows Early Learning Ctr,1 Jackstaff Street,Seaford Meadows,5169,Non-Government,Private CCCs,-35.17354327,138.4840952,SA
5483,Disability Unit Roma Mitchell SC,"Sports Park, Briens Road",Gepps Cross,5094,Government,Disability Units,-34.843058,138.618235,SA
5484,Port Broughton Kindergarten Occ Care,Cnr South Tce & Kadina Rd,Port Broughton,5522,Government,Occasional Care in Preschools,-33.603283,137.931338,SA
5485,Moonta Kindergarten Occ Care,Blanche Terrace,Moonta,5558,Government,Occasional Care in Preschools,-34.071329,137.590995,SA
5487,Mallala Preschool Occ Care,28 Owen Road,Mallala,5502,Government,Occasional Care in Preschools,-34.434403,138.510525,SA
5488,Elizabeth Downs CPC Occ Care,Heard Street,Elizabeth Downs,5113,Government,Occasional Care in Preschools,-34.698977,138.694605,SA
5489,Berri Community Preschool Occ Care,1A Fiedler Street,Berri,5343,Government,Occasional Care in Preschools,-34.281067,140.600482,SA
5490,Poonindie Early Childhood Occ Care,Hirschausen Road,Poonindie,5607,Government,Occasional Care in Preschools,-34.580807,135.881095,SA
5491,Lock Early Learning Centre Occ Care,West Terrace,Lock,5633,Government,Occasional Care in Preschools,-33.566136,135.757148,SA
5492,Accademia Di Montessori West Croydon,68 Day Terrace,West Croydon,5008,Non-Government,Private CCCs,-34.89258425,138.5588284,SA
5494,Seaford Rise Kgn Occasional Care,178 Grand Boulevard,Seaford Rise,5169,Government,Occasional Care in Preschools,-35.200073,138.487121,SA
5495,Precious Cargo - Woodville Park,699-709 Port Road,Woodville Park,5011,Non-Government,Private CCCs,-34.884984,138.542469,SA
5496,Blakes Crossing Christian Coll OSHC,14 Boucaut Avenue,Blakeview,5114,Non-Government,Out of School Hours Care,-34.680816,138.705974,SA
5497,Torrens Valley Christian School OSHC,1227 Grand Junction Road,Hope Valley,5090,Non-Government,Out of School Hours Care,-34.842243,138.700797,SA
5498,Stepping Stone Aberfoyle Park CC EDC,56 Sunnymeade Drive,Aberfoyle Park,5159,Non-Government,Private CCCs,-35.06562,138.599929,SA
