id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon,state_code
939,Goodwood State School,1802 Goodwood Road,Goodwood,4660,State,Prep Year to Year 6,-25.145511,152.384585,QLD
111,Goombungee State School,52 Mocatta Street,Goombungee,4354,State,Prep Year to Year 6,-27.302058,151.852555,QLD
1310,Goomeri State School,5 Munro Street,Goomeri,4601,State,Prep Year to Year 10,-26.17965,152.064895,QLD
807,Goondi State School,78 Maple Street,Goondi Bend,4860,State,Prep Year to Year 6,-17.522819,146.009903,QLD
2092,Goondiwindi State High School,3 Sandhurst Street,Goondiwindi,4390,State,Year 7 to Year 12,-28.537537,150.297467,QLD
46,Goondiwindi State School,34 George Street,Goondiwindi,4390,State,Early Childhood to Year 6,-28.543231,150.306236,QLD
A659,Goora Gan Steiner School (Agnes Water),1 Surf Club Avenue,Agnes Water,4677,Independent,Prep Year to Year 5,-24.19533,151.89437,QLD
1839,Goovigen State School,Rannes Road,Goovigen,4702,State,Prep Year to Year 6,-24.143232,150.286434,QLD
2106,Gordonvale State High School,85 Sheppards Street,Gordonvale,4865,State,Year 7 to Year 12,-17.088716,145.778389,QLD
790,Gordonvale State School,28 George Street,Gordonvale,4865,State,Prep Year to Year 6,-17.090076,145.785022,QLD
297,Gowrie State School,Old Homebush Road,Gowrie Junction,4352,State,Prep Year to Year 6,-27.491555,151.891457,QLD
5780,Grace Lutheran College (Rothwell),Anzac Avenue and Mewes Road,Rothwell,4022,Independent,Year 7 to Year 12,-27.218266,153.056764,QLD
5760,Grace Lutheran Primary School (Clontarf),38 Maine Road,Clontarf,4019,Independent,Prep Year to Year 6,-27.254208,153.089639,QLD
47,Gracemere State School,O'Shanesy Street,Gracemere,4702,State,Prep Year to Year 6,-23.435185,150.453919,QLD
1515,Graceville State School,23 Acacia Avenue,Graceville,4075,State,Prep Year to Year 6,-27.517575,152.978762,QLD
1674,Grand Avenue State School,Cnr Centennial Way & Grand Avenue,Forest Lake,4078,State,Prep Year to Year 6,-27.626041,152.958183,QLD
145,Grandchester State School,School Road,Grandchester,4340,State,Prep Year to Year 6,-27.665537,152.465345,QLD
1051,Grantham State School,15 Victor Street,Grantham,4347,State,Prep Year to Year 6,-27.574099,152.202048,QLD
193,Granville State School,Cambridge Street,Granville,4650,State,Prep Year to Year 6,-25.53851,152.715473,QLD
695,Greenbank State School,12-54 Goodna Road,Greenbank,4124,State,Prep Year to Year 6,-27.710389,152.97767,QLD
925,Greenlands State School,1209 Texas Road,Greenlands,4380,State,Prep Year to Year 6,-28.660808,151.827463,QLD
976,Greenmount State School,Haldon Street,Greenmount,4359,State,Prep Year to Year 6,-27.789365,151.906796,QLD
614,Greenslopes State School,559 Logan Road,Greenslopes,4120,State,Prep Year to Year 6,-27.50665,153.049819,QLD
334,Greenvale State School,Cassia Court,Greenvale,4816,State,Early Childhood to Year 6,-18.999118,144.980551,QLD
9339,Griffin State School,19 Wesley Road,Griffin,4503,State,Prep Year to Year 6,-27.256667,153.024444,QLD
1056,Grosmont State School,2524 Grosmont Road,Grosmont,4419,State,Prep Year to Year 6,-25.977791,149.803086,QLD
1136,Grovely State School,200 Dawson Parade,Keperra,4054,State,Prep Year to Year 6,-27.401916,152.961386,QLD
1860,"Groves Christian College (Laughlin St, Kingston)",70 Laughlin Street,Kingston,4114,Independent,Prep Year to Year 12,-27.660937,153.109923,QLD
5113,Guardian Angels' Catholic Primary School (Ashmore),Edmund Rice Drive,Ashmore,4214,Catholic,Prep Year to Year 6,-27.97305,153.384189,QLD
5006,Guardian Angels' Primary School (Wynnum),188 Bay Terrace,Wynnum,4178,Catholic,Prep Year to Year 6,-27.445823,153.175848,QLD
5895,"Gulf Christian College (Brown St, Normanton)",24-30 Brown Street,Normanton,4890,Independent,Prep Year to Year 9,-17.670983,141.079828,QLD
1549,Guluguba State School,Fosters Road,Guluguba,4418,State,Prep Year to Year 6,-26.25671,150.044162,QLD
1608,Gumdale State School,677 New Cleveland Road,Gumdale,4154,State,Prep Year to Year 6,-27.491803,153.152432,QLD
1391,Gumlu State School,De Salis Street,Gumlu,4805,State,Prep Year to Year 6,-19.879427,147.685879,QLD
58,Gunalda State School,King Street,Gunalda,4570,State,Prep Year to Year 6,-25.992745,152.560432,QLD
821,Gundiah State School,23 Gundiah School Road,Gundiah,4650,State,Prep Year to Year 6,-25.842417,152.546447,QLD
49,Gympie Central State School,Lawrence Street,Gympie,4570,State,Prep Year to Year 6,-26.188654,152.664619,QLD
482,Gympie East State School,219 Cedar Pocket Road,Greens Creek,4570,State,Prep Year to Year 6,-26.179851,152.73272,QLD
7611,Gympie Flexible Learning Centre (Gympie),2 Bowen Lane,Gympie,4570,Catholic,Year 7 to Year 12,-26.186532,152.678865,QLD
1221,Gympie South State School,50 Exhibition Road,Southside,4570,State,Prep Year to Year 6,-26.199809,152.645434,QLD
3007,Gympie Special School,52 Cootharaba Road,Gympie,4570,State,Prep Year to Year 12,-26.187869,152.680818,QLD
2007,Gympie State High School,2 Everson Road,Gympie,4570,State,Year 7 to Year 12,-26.188369,152.67812,QLD
560,Gympie West State School,41 Cartwright Road,Gympie,4570,State,Early Childhood to Year 6,-26.173838,152.662105,QLD
1329,Haden State School,1520 Haden-Crow's Nest Road,Haden,4353,State,Prep Year to Year 6,-27.224126,151.889278,QLD
114,Haigslea State School,Thagoona-Haigslea Road,Haigslea,4306,State,Prep Year to Year 6,-27.571711,152.629711,QLD
213,Halifax State School,17 Victoria Terrace,Halifax,4850,State,Prep Year to Year 6,-18.583644,146.284602,QLD
538,Hambledon State School,77-83 Stokes Street,Edmonton,4869,State,Prep Year to Year 6,-17.021212,145.735657,QLD
1962,Hamilton Island State School,Hamilton Island,Whitsundays,4803,State,Prep Year to Year 6,-20.345236,148.953014,QLD
1130,Hamilton State School,Oxford Street,Hamilton,4007,State,Prep Year to Year 6,-27.432705,153.073729,QLD
529,Hampden State School,2880 Bruce Highway,Hampden,4741,State,Prep Year to Year 6,-21.060175,148.931147,QLD
1849,Hannaford State School,Hannaford Road,Hannaford,4406,State,Prep Year to Year 6,-27.340412,150.060782,QLD
843,Happy Valley State School,Brilliant Street,Happy Valley,4825,State,Prep Year to Year 6,-20.744912,139.491008,QLD
978,Harlaxton State School,110 Ruthven Street,Harlaxton,4350,State,Prep Year to Year 6,-27.539861,151.954521,QLD
902,Harlin State School,Brisbane Valley Highway,Harlin,4306,State,Prep Year to Year 6,-26.974095,152.357408,QLD
359,Harris Fields State School,10-38 Smith Road,Woodridge,4114,State,Prep Year to Year 6,-27.629999,153.115619,QLD
2038,Harristown State High School,341-367 South Street,Harristown,4350,State,Year 7 to Year 12,-27.574685,151.931777,QLD
1292,Harristown State School,332 South Street,Harristown,4350,State,Prep Year to Year 6,-27.575209,151.933922,QLD
621,Harrisville State School,17 Hall Street,Harrisville,4307,State,Prep Year to Year 6,-27.812686,152.66738,QLD
390,Hatton Vale State School,Hannant Road,Hatton Vale,4341,State,Early Childhood to Year 6,-27.543442,152.47098,QLD
1060,Hayman Island State School,Hayman Island,Whitsundays,4802,State,Prep Year to Year 6,-20.056528,148.887307,QLD
232,Healy State School,5-9 Thomson Road,Healy,4825,State,Prep Year to Year 6,-20.741926,139.500247,QLD
2120,Heatley Secondary College,Cnr Hanlon Street & Fulham Road,Heatley,4814,State,Year 7 to Year 12,-19.286632,146.755203,QLD
305,Heatley State School,410 Fulham Road,Heatley,4814,State,Early Childhood to Year 6,-19.293818,146.74918,QLD
954,Hebel State School,Maud Street,Hebel,4486,State,Early Childhood to Year 6,-28.970971,147.791029,QLD
5899,Heights College (North Rockhampton),Cnr Carlton Street and Yaamba Road,North Rockhampton,4701,Independent,Prep Year to Year 12,-23.328796,150.515586,QLD
2184,Helensvale State High School,243 Discovery Drive,Helensvale,4212,State,Year 7 to Year 12,-27.898194,153.326775,QLD
1929,Helensvale State School,8 Lindfield Road,Helensvale,4212,State,Prep Year to Year 6,-27.915934,153.327968,QLD
