id,school_name,school_type,Official Low Year Level,Official High Year Level,school_address,suburb,postcode,Sector,sector,school_lon,school_lat
843,Happy Valley State School,,Prep Year,Year 6,Brilliant Street,Happy Valley,4825,State,,139.491008,-20.744912
978,Harlaxton State School,,Prep Year,Year 6,110 Ruthven Street,Harlaxton,4350,State,,151.954521,-27.539861
902,Harlin State School,,Prep Year,Year 6,Brisbane Valley Highway,Harlin,4306,State,,152.357408,-26.974095
359,Harris Fields State School,,Prep Year,Year 6,10-38 Smith Road,Woodridge,4114,State,,153.115619,-27.629999
2038,Harristown State High School,,Year 7,Year 12,341-367 South Street,Harristown,4350,State,,151.931777,-27.574685
1292,Harristown State School,,Prep Year,Year 6,332 South Street,Harristown,4350,State,,151.933922,-27.575209
621,Harrisville State School,,Prep Year,Year 6,17 Hall Street,Harrisville,4307,State,,152.66738,-27.812686
390,Hatton Vale State School,,Early Childhood,Year 6,Hannant Road,Hatton Vale,4341,State,,152.47098,-27.543442
1060,Hayman Island State School,,Prep Year,Year 6,Hayman Island,Whitsundays,4802,State,,148.887307,-20.056528
232,Healy State School,,Prep Year,Year 6,5-9 Thomson Road,Healy,4825,State,,139.500247,-20.741926
2120,Heatley Secondary College,,Year 7,Year 12,Cnr Hanlon Street & Fulham Road,Heatley,4814,State,,146.755203,-19.286632
305,Heatley State School,,Early Childhood,Year 6,410 Fulham Road,Heatley,4814,State,,146.74918,-19.293818
954,Hebel State School,,Early Childhood,Year 6,Maud Street,Hebel,4486,State,,147.791029,-28.970971
5899,Heights College (North Rockhampton),,Prep Year,Year 12,Cnr Carlton Street and Yaamba Road,North Rockhampton,4701,Non-State,Independent,150.515586,-23.328796
2184,Helensvale State High School,,Year 7,Year 12,243 Discovery Drive,Helensvale,4212,State,,153.326775,-27.898194
1929,Helensvale State School,,Prep Year,Year 6,8 Lindfield Road,Helensvale,4212,State,,153.327968,-27.915934
52,Helidon State School,,Prep Year,Year 6,16 School Street,Helidon,4344,State,,152.125747,-27.555069
8192,Hemmant Flexible Learning Centre (Hemmant),,Year 7,Year 12,56 Hemmant-Tingalpa Road,Hemmant,4174,Non-State,Catholic,153.126863,-27.44802
33,Hendra State School,,Prep Year,Year 6,309 Nudgee Road,Hendra,4011,State,,153.074494,-27.421238
254,Herberton State School,,Prep Year,Year 10,Elwyn Phillips Memorial Drive,Moomin,4887,State,,145.379085,-17.372335
1858,Hercules Road State School,,Prep Year,Year 6,Hercules Road,Kippa-Ring,4021,State,,153.079324,-27.220966
873,Hermit Park State School,,Prep Year,Year 6,Cnr Surrey & Sussex Streets,Hyde Park,4812,State,,146.796543,-19.280047
3057,Hervey Bay Special School,,Prep Year,Year 12,23 Frangipanni Avenue,Kawungan,4655,State,,152.85235,-25.296301
2093,Hervey Bay State High School,,Year 7,Year 12,Beach Road,Pialba,4655,State,,152.832275,-25.281911
53,Highfields State School,,Prep Year,Year 6,10459 New England Highway,Highfields,4352,State,,151.955722,-27.462877
9340,Highfields State Secondary College,,Year 7,Year 12,10 O'Brien Road,Highfields,4352,State,,151.951111,-27.446667
6135,Highland Reserve State School,,Prep Year,Year 6,570 Reserve Road,Upper Coomera,4209,State,,153.282923,-27.892907
5862,Highlands Christian College (Toowoomba),,Prep Year,Year 12,505 Hume Street,Toowoomba,4350,Non-State,Independent,151.949284,-27.600086
1887,Hilder Road State School,,Prep Year,Year 6,Kaloma Road,The Gap,4061,State,,152.937219,-27.436814
5441,Hillbrook Anglican School (Enoggera),,Year 7,Year 12,45 Hurdcotte Street,Enoggera,4051,Non-State,Independent,152.989454,-27.416726
5571,Hillcrest Christian College (Reedy Creek),,Prep Year,Year 12,21 Bridgman Drive,Reedy Creek,4227,Non-State,Independent,153.397631,-28.103266
1986,Hilliard State School,,Prep Year,Year 6,Cnr Alexandra Circuit & Hanover Drive,Alexandra Hills,4161,State,,153.230052,-27.542245
5798,Hills International College (Jimboomba),,Prep Year,Year 12,105-111 Johanna Street,Jimboomba,4280,Non-State,Independent,153.017929,-27.816535
541,Hillview State School,,Prep Year,Year 6,1623 Christmas Creek Road,Hillview,4285,State,,153.004563,-28.211731
5589,Hinchinbrook Christian School (Ingham),,Year 5,Year 10,77 Halifax Road,Ingham,4850,Non-State,Independent,146.167615,-18.638712
2125,Holland Park State High School,,Year 7,Year 12,Bapaume Road,Holland Park West,4121,State,,153.059413,-27.530973
1593,Holland Park State School,,Prep Year,Year 6,59 Abbotsleigh Street,Holland Park,4121,State,,153.062824,-27.513775
5891,Holy Cross School (Trinity Park),,Prep Year,Year 6,Reed Road,Trinity Park,4879,Non-State,Catholic,145.695375,-16.810276
5009,Holy Cross School (Wooloowin),,Prep Year,Year 6,40 Morris Street,Wooloowin,4030,Non-State,Catholic,153.039646,-27.424053
