id,school_name,school_type,Official Low Year Level,Official High Year Level,school_address,suburb,postcode,Sector,sector,school_lon,school_lat
5021,Mater Dei Catholic Primary School (Ashgrove West),,Prep Year,Year 6,7 Lynwood Crescent,Ashgrove West,4060,Non-State,Catholic,152.973686,-27.448946
5150,Mater Dei Primary School (Toowoomba),,Prep Year,Year 6,53 Curzon Street,Toowoomba,4350,Non-State,Catholic,151.973852,-27.558959
5455,Matthew Flinders Anglican College (Buderim),,Prep Year,Year 12,Stringybark Road,Buderim,4556,Non-State,Independent,153.059226,-26.698811
1090,Mayfield State School,,Prep Year,Year 6,Paget Street,Carina,4152,State,,153.092362,-27.483944
9961,McAuley College (Beaudesert),,Year 7,Year 9,30 Oakland Way,Beaudesert,4285,Non-State,Catholic,153.011894,-27.989797
1400,McDonnell Creek State School,,Prep Year,Year 6,69273 Bruce Highway,Fishery Falls,4871,State,,145.897307,-17.196629
378,McDowall State School,,Prep Year,Year 6,1018 Rode Road,Mcdowall,4053,State,,152.98995,-27.388021
1394,McIlwraith State School,,Prep Year,Year 6,322 McIlwraith Road,Mcilwraith,4671,State,,151.999318,-25.008553
1473,Meandarra State School,,Prep Year,Year 6,Sara Street,Meandarra,4422,State,,149.882227,-27.324019
1673,Mena Creek State School,,Prep Year,Year 6,Mena Creek Road,Mena Creek,4871,State,,145.955503,-17.654747
5412,Mercy College (Mackay),,Year 7,Year 10,Penn Street,Mackay,4740,Non-State,Catholic,149.183164,-21.154898
1733,Meridan State College,,Prep Year,Year 12,214 Parklands Boulevard,Meridan Plains,4551,State,,153.102885,-26.773775
806,Merinda State School,,Prep Year,Year 6,Bergl Street,Bowen,4805,State,,148.163654,-20.020156
179,Meringandan State School,,Prep Year,Year 6,10 School Road,Meringandan West,4352,State,,151.905023,-27.430377
2147,Merrimac State High School,,Year 7,Year 12,Dunlop Court,Mermaid Waters,4218,State,,153.416317,-28.039803
1586,Merrimac State School,,Prep Year,Year 6,2 Boowaggan Road,Merrimac,4226,State,,153.376669,-28.041257
1291,Miallo State School,,Prep Year,Year 6,Miallo Bamboo Creek Road,Miallo,4873,State,,145.376152,-16.388888
2086,Miami State High School,,Year 7,Year 12,2137-2205 Gold Coast Highway,Miami,4220,State,,153.437899,-28.062823
1890,Miami State School,,Early Childhood,Year 6,18-36 Oceanic Drive,Mermaid Waters,4218,State,,153.426091,-28.059638
1969,Middle Park State School,,Prep Year,Year 6,Cnr Sumners Road & Macfarlane Street,Middle Park,4074,State,,152.917175,-27.559487
414,Middle Ridge State School,,Prep Year,Year 6,203 Spring Street,Middle Ridge,4350,State,,151.956495,-27.601717
1905,Middlemount Community School,,Prep Year,Year 12,James Randell Drive,Middlemount,4746,State,,148.700813,-22.810863
2144,Miles State High School,,Year 7,Year 12,Pine Street,Miles,4415,State,,150.185136,-26.653516
341,Miles State School,,Early Childhood,Year 6,Constance Street,Miles,4415,State,,150.185634,-26.656815
771,Millaa Millaa State School,,Prep Year,Year 6,1 Beech Street,Millaa Millaa,4886,State,,145.610159,-17.512725
867,Millaroo State School,,Early Childhood,Year 6,Cunningham Street,Millaroo,4807,State,,147.280664,-20.05814
157,Millchester State School,,Prep Year,Year 6,Cnr Bluff & Phillipson Roads,Millchester,4820,State,,146.275344,-20.0891
176,Millmerran State School,,Prep Year,Year 10,19 Simmons Street,Millmerran,4357,State,,151.265453,-27.878235
1120,Milman State School,,Prep Year,Year 6,335 Milman Road,Milman,4702,State,,150.408623,-23.106002
2024,Milpera State High School,,Year 7,Year 12,Parker Street,Chelmer,4068,State,,152.977559,-27.514033
551,Milton State School,,Prep Year,Year 6,Bayswater Street,Milton,4064,State,,152.998573,-27.466889
294,Minden State School,,Prep Year,Year 6,1032 Lowood-Minden Road,Minden,4311,State,,152.544156,-27.554762
265,Minimbah State School,,Prep Year,Year 6,Cnr Walkers Road & Minimbah Drive,Morayfield,4506,State,,152.924326,-27.110796
2117,Mirani State High School,,Year 7,Year 12,Augusta Street,Mirani,4754,State,,148.862371,-21.157627
658,Mirani State School,,Prep Year,Year 6,12 Maud Street,Mirani,4754,State,,148.861984,-21.161463
792,Miriam Vale State School,,Early Childhood,Year 10,15 Roe Street,Miriam Vale,4677,State,,151.561627,-24.329777
1382,Mirriwinni State School,,Prep Year,Year 6,3 Whitman Street,Mirriwinni,4871,State,,145.909769,-17.4022
1324,Mission Beach State School,,Prep Year,Year 6,Webb Road,Wongaling Beach,4852,State,,146.092576,-17.90429
1919,Mistake Creek State School,,Early Childhood,Year 6,6652 Clermont Alpha Road,Clermont,4721,State,,147.083309,-22.988983
27,Mitchell State School,,Prep Year,Year 10,105 Cambridge Street,Mitchell,4465,State,,147.97152,-26.488567
3005,Mitchelton Special School,,Early Childhood,Year 12,Kedron Avenue,Mitchelton,4053,State,,152.975668,-27.413026
2040,Mitchelton State High School,,Year 7,Year 12,754 Samford Road,Mitchelton,4053,State,,152.965912,-27.410488
1538,Mitchelton State School,,Prep Year,Year 6,47 Glen Retreat Road,Mitchelton,4053,State,,152.969747,-27.413166
701,Moffatdale State School,,Prep Year,Year 6,892 Barambah Road,Moffatdale,4605,State,,152.011754,-26.305954
73,Moggill State School,,Prep Year,Year 6,3417 Moggill Road,Moggill,4070,State,,152.877617,-27.569261
417,Monkland State School,,Prep Year,Year 6,220 Brisbane Road,Monkland,4570,State,,152.685981,-26.213842
1513,Monogorilby State School,,Early Childhood,Year 6,2199 Monogorilby Road,Monogorilby,4626,State,,151.00847,-26.05484
5533,Montessori International College (Forest Glen),,Prep Year,Year 12,880-932 Maroochydore Road,Forest Glen,4556,Non-State,Independent,153.007562,-26.671159
A055,Montessori Noosa (Sunshine Beach),,Year 1,Year 6,2 Bicentennial Drive,Sunshine Beach,4567,Non-State,Independent,153.099222,-26.405081
2098,Monto State High School,,Year 7,Year 12,Mouatt Street,Monto,4630,State,,151.118564,-24.869915
1831,Monto State School,,Prep Year,Year 6,3 Leichhardt Street,Monto,4630,State,,151.118232,-24.867866
776,Montville State School,,Prep Year,Year 6,Main Street,Montville,4560,State,,152.893077,-26.688654
1818,Mooloolaba State School,,Prep Year,Year 6,Cnr Meta & Douglas Streets,Mooloolaba,4557,State,,153.113718,-26.678458
309,Mooloolah State School,,Prep Year,Year 6,King Road,Mooloolah Valley,4553,State,,152.958259,-26.769062
511,Moonie State School,,Early Childhood,Year 6,11305 Moonie Highway,Moonie,4406,State,,150.373238,-27.713809
1739,Moore Park Beach State School,,Prep Year,Year 6,14 Murdochs Linking Road,Moore Park Beach,4670,State,,152.255222,-24.709673
1637,Moorooka State School,,Prep Year,Year 6,Sherley Street,Moorooka,4105,State,,153.02397,-27.535704
1908,Moranbah East State School,,Prep Year,Year 6,4 Williams Street,Moranbah,4744,State,,148.063356,-22.005128
2135,Moranbah State High School,,Year 7,Year 12,Mills Avenue,Moranbah,4744,State,,148.059443,-22.000422
896,Moranbah State School,,Early Childhood,Year 6,Belyando Avenue,Moranbah,4744,State,,148.047863,-21.99847
1985,Morayfield East State School,,Prep Year,Year 6,107 Graham Road,Morayfield,4506,State,,152.966994,-27.116828
2154,Morayfield State High School,,Year 7,Year 12,Visentin Road,Morayfield,4506,State,,152.953373,-27.109046
125,Morayfield State School,,Prep Year,Year 6,196-230 Morayfield Road,Morayfield,4506,State,,152.947224,-27.106524
2478,Moreton Bay Boys' College (Manly West) ,,Prep Year,Year 12,258-302 Manly Road,Manly West,4179,Non-State,Independent,153.172426,-27.470726
5551,Moreton Bay College (Manly West),,Prep Year,Year 12,450 Wondall Road,Manly West,4179,Non-State,Independent,153.15027,-27.469844
1753,Moreton Downs State School,,Prep Year,Year 6,Parsons Boulevard,Deception Bay,4508,State,,153.01724,-27.200106
1803,Morningside State School,,Prep Year,Year 6,67 Pashen Street,Morningside,4170,State,,153.066999,-27.46422
291,Mornington Island State School,,Early Childhood,Year 10,Lardil Street - Mornington Island,Wellesley Islands,4892,State,,139.182596,-16.666363
525,Morven State School,,Early Childhood,Year 6,Albert Street,Morven,4468,State,,147.109857,-26.415661
2002,Mossman State High School,,Year 7,Year 12,46-62 Front Street,Mossman,4873,State,,145.37356,-16.463414
167,Mossman State School,,Prep Year,Year 6,30-34 Front Street,Mossman,4873,State,,145.374373,-16.461721
5265,Mother of Good Counsel School (Cairns North),,Prep Year,Year 6,394 Sheridan Street,Cairns North,4870,Non-State,Catholic,145.75583,-16.899406
6142,Mother Teresa Primary School (Ormeau),,Prep Year,Year 6,169 Eggersdorf Road,Ormeau,4208,Non-State,Catholic,153.272628,-27.78242
381,Mount Alford State School,,Prep Year,Year 6,942 Reckumpilla Street,Mount Alford,4310,State,,152.594708,-28.068223
5353,Mount Alvernia College (Kedron),,Year 7,Year 12,82 Cremorne Road,Kedron,4031,Non-State,Catholic,153.027404,-27.405534
1914,Mount Archer State School,,Prep Year,Year 6,242 Thozet Road,Koongal,4701,State,,150.545611,-23.358187
284,Mount Cotton State School,,Prep Year,Year 6,1246 Mount Cotton Road,Mount Cotton,4165,State,,153.235601,-27.621828
267,Mount Crosby State School,,Prep Year,Year 6,Mount Crosby Road,Karana Downs,4306,State,,152.807094,-27.550823
1975,Mount Fox State School,,Early Childhood,Year 6,2957 Mt Fox Road,Mount Fox,4850,State,,145.794564,-18.819022
944,Mount Garnet State School,,Prep Year,Year 6,Garnet Street,Mount Garnet,4872,State,,145.121534,-17.68026
660,Mount Gravatt East State School,,Prep Year,Year 6,Newnham Road,Mount Gravatt East,4122,State,,153.094318,-27.533752
2056,Mount Gravatt State High School,,Year 7,Year 12,Loreburn Street,Mount Gravatt,4122,State,,153.073541,-27.535011
198,Mount Gravatt State School,,Prep Year,Year 6,1263 Logan Road,Mount Gravatt,4122,State,,153.074086,-27.532699
1067,Mount Isa Central State School,,Prep Year,Year 6,49 Miles Street,Mount Isa,4825,State,,139.491988,-20.723255
6606,Mount Isa Flexible Learning Centre (Sunset),,Year 7,Year 12,74 Abel Smith Parade,Sunset,4825,Non-State,Catholic,139.510772,-20.712696
3604,Mount Isa School of the Air,,Prep Year,Year 10,137-143 Abel Smith Parade,Pioneer,4825,State,,139.509449,-20.721268
3004,Mount Isa Special School,,Prep Year,Year 12,116 Marian Street,Pioneer,4825,State,,139.513217,-20.724272
1166,Mount Kilcoy State School,,Prep Year,Year 6,251 Jenkinsons Road,Mount Kilcoy,4515,State,,152.586963,-26.87365
300,Mount Larcom State School,,Prep Year,Year 10,Raglan Street,Mount Larcom,4695,State,,150.974578,-23.807143
1189,Mount Marrow State School,,Prep Year,Year 6,272 Thagoona-Haigslea Road,Mount Marrow,4306,State,,152.621477,-27.603608
690,Mount Mee State School,,Prep Year,Year 6,1368 Mt Mee Road,Mount Mee,4521,State,,152.771144,-27.080678
1109,Mount Molloy State School,,Prep Year,Year 6,Fraser Road,Mount Molloy,4871,State,,145.334813,-16.67379
526,Mount Morgan Central State School,,Prep Year,Year 6,44 Morgan Street,Mount Morgan,4714,State,,150.388092,-23.645618
2010,Mount Morgan State High School,,Year 7,Year 12,4 Central Street,Mount Morgan,4714,State,,150.387304,-23.643906
1511,Mount Murchison State School,,Prep Year,Year 6,Lot 137 Dawson Highway,Mount Murchison,4715,State,,150.53798,-24.333814
737,Mount Nebo State School,,Prep Year,Year 6,Mount Nebo Road,Mount Nebo,4520,State,,152.783464,-27.396542
3088,Mount Ommaney Special School,,Early Childhood,Year 12,94 Capitol Drive,Mount Ommaney,4074,State,,152.941937,-27.542149
75,Mount Perry State School,,Early Childhood,Year 6,Annie Street,Mount Perry,4671,State,,151.643167,-25.182325
377,Mount Samson State School,,Prep Year,Year 6,1060 Winn Road,Mount Samson,4520,State,,152.851264,-27.294338
5438,"Mount St Bernard College (Broadway St, Herberton)",,Year 7,Year 12,15 Broadway Street,Herberton,4887,Non-State,Catholic,145.382626,-17.379338
1531,Mount Surprise State School,,Early Childhood,Year 6,Garland Street,Mount Surprise,4871,State,,144.319959,-18.146519
464,Mount Sylvia State School,,Prep Year,Year 6,6 Left Hand Branch Road,Mount Sylvia,4343,State,,152.224001,-27.723021
1111,Mount Tarampa State School,,Prep Year,Year 6,9 Profkes Road,Mount Tarampa,4311,State,,152.489955,-27.45526
1037,Mount Tyson State School,,Prep Year,Year 6,Main Street,Mount Tyson,4356,State,,151.569418,-27.574685
1906,Mount Warren Park State School,,Early Childhood,Year 6,125 Mount Warren Boulevard,Mount Warren Park,4207,State,,153.205393,-27.726036
495,Mount Whitestone State School,,Prep Year,Year 6,1313 Gatton-Clifton Road,Mount Whitestone,4347,State,,152.160194,-27.665096
2190,Mountain Creek State High School,,Year 7,Year 12,Lady Musgrave Drive,Mountain Creek,4557,State,,153.102947,-26.688102
1999,Mountain Creek State School,,Prep Year,Year 6,Lady Musgrave Drive,Mountain Creek,4557,State,,153.103365,-26.690943
2136,Moura State High School,,Year 7,Year 12,Gillespie Street,Moura,4718,State,,149.982371,-24.575045
932,Moura State School,,Early Childhood,Year 6,Gillespie Street,Moura,4718,State,,149.979257,-24.571758
957,Mourilyan State School,,Prep Year,Year 6,34 Mourilyan Harbour Road,Mourilyan,4858,State,,146.044295,-17.585172
5001,Mt Maria College - Petrie (Petrie),,Year 7,Year 12,Armstrong Street,Petrie,4502,Non-State,Catholic,152.977951,-27.265677
5651,Mt Maria College (Mitchelton),,Year 7,Year 12,54 Prospect Road,Mitchelton,4053,Non-State,Catholic,152.977479,-27.411487
5355,Mt St Michael's College (Ashgrove),,Year 7,Year 12,67 Elimatta Drive,Ashgrove,4060,Non-State,Catholic,152.988161,-27.444789
159,Mudgeeraba Creek State School,,Prep Year,Year 6,Gold Coast-Springbrook Road,Mudgeeraba,4213,State,,153.347063,-28.086798
3049,Mudgeeraba Special School,,Prep Year,Year 12,4-6 School Street,Mudgeeraba,4213,State,,153.364091,-28.077823
663,Mudgeeraba State School,,Prep Year,Year 6,Old Coach Road,Mudgeeraba,4213,State,,153.352772,-28.074079
5591,Mueller College (Rothwell),,Prep Year,Year 12,75 Morris Road,Rothwell,4022,Non-State,Independent,153.061258,-27.21266
1418,Mulgildie State School,,Prep Year,Year 6,Brigalow Street,Mulgildie,4630,State,,151.134065,-24.963457
436,Mundingburra State School,,Prep Year,Year 6,77 Ross River Road,Mundingburra,4812,State,,146.789636,-19.294541
722,Mundoo State School,,Prep Year,Year 6,100 Cardier Road,Wangan,4871,State,,146.011259,-17.566721
1420,Mundubbera State School,,Early Childhood,Year 10,57 Bunce Street,Mundubbera,4626,State,,151.293598,-25.585464
A684,Mungalla Silver Lining School (Mutarnee),,Year 8,Year 12,Spiegelhauer Road,Mutarnee,4816,Non-State,Independent,146.28861,-18.96875
507,Mungallala State School,,Prep Year,Year 6,24 Redford Street,Mungallala,4467,State,,147.545005,-26.444626
217,Mungar State School,,Prep Year,Year 6,1143 Mungar Road,Mungar,4650,State,,152.590612,-25.604163
1469,Murarrie State School,,Prep Year,Year 6,Garrett Street,Murarrie,4172,State,,153.100939,-27.461955
2052,Murgon State High School,,Year 7,Year 12,2 Dutton Street,Murgon,4605,State,,151.944634,-26.237247
871,Murgon State School,,Early Childhood,Year 6,91 Gore Street,Murgon,4605,State,,151.94339,-26.239762
76,Murphy's Creek State School,,Prep Year,Year 6,49 Murphys Creek School Road,Murphys Creek,4352,State,,152.051323,-27.458894
1030,Murray River Upper State School,,Prep Year,Year 6,1 Middle Murray Road,Murray Upper,4854,State,,145.850557,-18.089988
1177,Murray's Bridge State School,,Prep Year,Year 6,1378 Killarney Road,Murrays Bridge,4370,State,,152.117925,-28.292999
7574,Murrumba State Secondary College,,Year 7,Year 12,201-207 Goodfellows Road,Murrumba Downs,4503,State,,153.007767,-27.2592
1678,Musgrave Hill State School,,Early Childhood,Year 6,Nakina Street,Southport,4215,State,,153.393796,-27.959265
6137,Music Industry College (Fortitude Valley),,Year 11,Year 12,38 Berwick Street,Fortitude Valley,4006,Non-State,Independent,153.036966,-27.45886
1317,Mutarnee State School,,Prep Year,Year 6,School Road,Mutarnee,4816,State,,146.28716,-18.955093
993,Mutchilba State School,,Prep Year,Year 6,33 Marsterson Street,Mutchilba,4872,State,,145.212078,-17.139398
152,Mutdapilly State School,,Prep Year,Year 6,4 Mutdapilly-Churchbank Weir Road,Mutdapilly,4307,State,,152.650646,-27.771042
304,Muttaburra State School,,Early Childhood,Year 6,42 Sword Street,Muttaburra,4732,State,,144.543664,-22.594954
1481,Nagoorin State School,,Prep Year,Year 6,2 Ubobo Street,Boyne Valley,4680,State,,151.299983,-24.351695
5886,Nambour Christian College (Woombye),,Prep Year,Year 12,2 McKenzie Road,Woombye,4559,Non-State,Independent,152.961637,-26.643909
3039,Nambour Special School,,Prep Year,Year 12,70 Windsor Road,Burnside,4560,State,,152.945871,-26.632902
2031,Nambour State College,,Prep Year,Year 12,1 Carroll Street,Nambour,4560,State,,152.962384,-26.623206
2157,Nanango State High School,,Year 7,Year 12,54 Elk Street,Nanango,4615,State,,151.993033,-26.667821
77,Nanango State School,,Early Childhood,Year 6,39 Drayton Street,Nanango,4615,State,,152.005506,-26.671683
1200,Narangba State School,,Prep Year,Year 6,School Street,Narangba,4504,State,,152.961495,-27.205689
444,Narangba Valley State High School,,Year 7,Year 12,Harris Avenue,Narangba,4504,State,,152.94235,-27.173232
1725,Narangba Valley State School,,Prep Year,Year 6,Creekside Drive,Narangba,4504,State,,152.933087,-27.173458
3140,Narbethong State Special School,,Early Childhood,Year 12,25 Salisbury Street,Woolloongabba,4102,State,,153.044768,-27.495779
479,Nashville State School,,Prep Year,Year 6,Cnr Baskerville & Douglas Streets,Brighton,4017,State,,153.050389,-27.307003
184,Nebo State School,,Early Childhood,Year 6,34 Oxford Street,Nebo,4742,State,,148.689807,-21.689731
2169,Nerang State High School,,Year 7,Year 12,1-35 Weedons Road,Nerang,4211,State,,153.327896,-28.000554
218,Nerang State School,,Prep Year,Year 6,3 Nerang Street,Nerang,4211,State,,153.338457,-27.988627
943,New Farm State School,,Prep Year,Year 6,Cnr James & Heal Streets,New Farm,4005,State,,153.045174,-27.460244
228,Newmarket State School,,Prep Year,Year 6,15 Banks Street,Newmarket,4051,State,,153.004001,-27.432212
1227,Newtown State School,,Prep Year,Year 6,24 Albert Street,Newtown,4350,State,,151.935241,-27.558695
1735,Nobby State School,,Prep Year,Year 6,4 Davenport Street,Nobby,4360,State,,151.906017,-27.85243
5303,Noosa Christian College (Cooroy),,Prep Year,Year 12,20 Cooroy Belli Creek Road,Cooroy,4563,Non-State,Independent,152.903924,-26.427873
2088,Noosa District State High School,,Year 7,Year 12,Tulip Street,Cooroy,4563,State,,152.910213,-26.42421
5638,Noosa Flexible Learning Centre (Sunshine Beach),,Year 7,Year 12,2 Girraween Court,Sunshine Beach,4567,Non-State,Catholic,153.100729,-26.403168
270,Noosa Pengari Steiner School (Doonan),,Prep Year,Year 12,86 Nyell Road,Doonan,4562,Non-State,Independent,153.03065,-26.452141
175,Noosaville State School,,Early Childhood,Year 6,75 Beckmans Road,Noosaville,4566,State,,153.029142,-26.409542
1741,Norfolk Village State School,,Prep Year,Year 6,83 Halfway Drive,Ormeau,4208,State,,153.244777,-27.772999
926,Norman Park State School,,Prep Year,Year 6,68-88 Agnew Street,Norman Park,4170,State,,153.062355,-27.4745
360,Normanton State School,,Prep Year,Year 10,Little Brown Street,Normanton,4890,State,,141.079046,-17.672072
1863,Norris Road State School,,Prep Year,Year 6,28 Greenore Street,Bracken Ridge,4017,State,,153.025013,-27.316658
469,North Arm State School,,Prep Year,Year 6,Cnr Fairhill & Yandina Creek Road,North Arm,4561,State,,152.965795,-26.523289
731,North Eton State School,,Prep Year,Year 6,Kinchant Dam Road,North Eton,4741,State,,148.956289,-21.230149
2324,North Lakes State College,,Prep Year,Year 12,Joyner Circuit,North Lakes,4509,State,,153.025181,-27.238366
2041,North Rockhampton State High School,,Year 7,Year 12,Berserker Street,Frenchville,4701,State,,150.531699,-23.352105
A069,North Shore State School,,Prep Year,Year 6,9 Langford Street,Burdell,4818,State,,146.696118,-19.233242
211,Northern Beaches State High School,,Year 7,Year 12,Meranti Street,Deeragun,4818,State,,146.67356,-19.247948
1243,Northern Peninsula Area State College,,Early Childhood,Year 12,Sagaukaz Street,Bamaga,4876,State,,142.385802,-10.895205
281,Northgate State School,,Prep Year,Year 6,128 Amelia Street,Nundah,4012,State,,153.070852,-27.398743
5476,Northpine Christian College (Dakabin),,Prep Year,Year 12,29 Hughes Road East,Dakabin,4503,Non-State,Independent,152.985045,-27.221076
5578,Northside Christian College (Everton Park),,Prep Year,Year 12,151 Flockton Street,Everton Park,4053,Non-State,Independent,152.990531,-27.394221
1957,Northview State School,,Prep Year,Year 6,54 Pioneer Street,Mount Pleasant,4740,State,,149.150979,-21.109844
445,Norville State School,,Early Childhood,Year 6,Dr Mays Road,Norville,4670,State,,152.336502,-24.886563
785,Numinbah Valley State School,,Prep Year,Year 6,2270 Nerang-Murwillumbah Road,Numinbah Valley,4211,State,,153.227213,-28.148648
43,Nundah State School,,Prep Year,Year 6,41 Bage Street,Nundah,4012,State,,153.058328,-27.402544
3084,Nursery Road State Special School,,Early Childhood,Year 12,49 Nursery Road,Holland Park West,4121,State,,153.064193,-27.534172
1238,Oakenden State School,,Prep Year,Year 6,177 Oakenden School Road,Oakenden,4741,State,,149.005056,-21.311623
2099,Oakey State High School,,Year 7,Year 12,1 Campbell Street,Oakey,4401,State,,151.71934,-27.445059
166,Oakey State School,,Early Childhood,Year 6,24 Campbell Street,Oakey,4401,State,,151.720502,-27.439355
331,Oakleigh State School,,Prep Year,Year 6,Buxton Street,Ashgrove,4060,State,,152.985892,-27.436517
620,Oakwood State School,,Prep Year,Year 6,125 Oakwood School Road,Oakwood,4670,State,,152.300459,-24.844531
51,One Mile State School,,Prep Year,Year 6,John Street,Gympie,4570,State,,152.675322,-26.19931
2421,OneSchool Global QLD (Wakerley) ,,Year 3,Year 12,190 Ingleston Road,Wakerley,4154,Non-State,Independent,153.141793,-27.485275
A774,Ontrack College Emerald (Emerald),,Year 7,Year 10,26274 Capricorn Highway,Emerald ,4720,Non-State,Independent,148.18449,-23.53962
556,Oonoonba State School,,Prep Year,Year 6,Fairfield Waters Drive,Idalia,4811,State,,146.812264,-19.304579
1271,Orion State School,,Prep Year,Year 6,1002 Ten Chain Road,Orion,4722,State,,148.410708,-24.230322
336,Ormeau State School,,Prep Year,Year 6,29 Mirambeena Drive,Pimpama,4209,State,,153.276681,-27.799965
6136,Ormeau Woods State High School,,Year 7,Year 12,Goldmine Road,Ormeau,4208,State,,153.26412,-27.77032
5796,Ormiston College (Ormiston),,Prep Year,Year 12,97 Dundas Street West,Ormiston,4160,Non-State,Independent,153.246879,-27.515347
23,Ormiston State School,,Prep Year,Year 6,82-110 Gordon Street,Ormiston,4160,State,,153.258508,-27.516473
74,Osborne State School,,Prep Year,Year 6,Kirknie Road,Osborne,4806,State,,147.346602,-19.700538
5267,Our Lady Help of Christians School (Earlville),,Prep Year,Year 6,18 Balaclava Road,Earlville,4870,Non-State,Catholic,145.737137,-16.943033
5024,Our Lady Help of Christians School (Hendra),,Prep Year,Year 6,23 Bowman Street,Hendra,4011,Non-State,Catholic,153.066736,-27.420797
5026,Our Lady of Dolours School (Mitchelton),,Prep Year,Year 6,2 Willcocks Street,Mitchelton,4053,Non-State,Catholic,152.974854,-27.41431
5027,Our Lady of Fatima Primary School (Acacia Ridge),,Prep Year,Year 6,350 Mortimer Road,Acacia Ridge,4110,Non-State,Catholic,153.022752,-27.579185
5117,Our Lady of Good Counsel School (Gatton),,Prep Year,Year 6,20 Maitland Street,Gatton,4343,Non-State,Catholic,152.27166,-27.558237
5236,Our Lady of Lourdes Primary School (Ingham),,Prep Year,Year 6,18 Abbott Street,Ingham,4850,Non-State,Catholic,146.159262,-18.653896
5028,Our Lady of Lourdes Primary School (Sunnybank),,Prep Year,Year 6,Shearwin Street,Sunnybank,4109,Non-State,Catholic,153.061996,-27.581674
5153,Our Lady of Lourdes Primary School (Toowoomba),,Prep Year,Year 6,2 Ascot Street,Toowoomba,4350,Non-State,Catholic,151.93261,-27.557014
5030,Our Lady of Mount Carmel School (Coorparoo),,Prep Year,Year 6,Norfolk Street,Coorparoo,4151,Non-State,Catholic,153.062631,-27.5027
5031,Our Lady of the Angels' School (Wavell Heights),,Prep Year,Year 6,30 Warraba Avenue,Wavell Heights,4012,Non-State,Catholic,153.040311,-27.3936
5032,Our Lady of the Assumption School (Enoggera),,Prep Year,Year 6,9 Hurdcotte Street,Enoggera,4051,Non-State,Catholic,152.990302,-27.416821
5137,Our Lady of the Rosary School (Caloundra),,Prep Year,Year 6,Alfred Street,Caloundra,4551,Non-State,Catholic,153.143746,-26.797257
5033,Our Lady of the Rosary School (Kenmore),,Prep Year,Year 6,1 Kenmore Road,Kenmore,4069,Non-State,Catholic,152.937323,-27.511198
5034,Our Lady of the Sacred Heart Catholic Primary School (Darra),,Prep Year,Year 6,115 Darra Station Road,Darra,4076,Non-State,Catholic,152.952203,-27.568091
5192,Our Lady of the Sacred Heart Catholic Primary School (Springsure),,Prep Year,Year 6,Gap Street,Springsure,4722,Non-State,Catholic,148.092636,-24.117027
5268,Our Lady of the Sacred Heart School (Thursday Island),,Prep Year,Year 6,Normanby Street,Thursday Island,4875,Non-State,Catholic,142.215733,-10.583081
5189,Our Lady of the Southern Cross College (Dalby),,Prep Year,Year 12,2 Nicholson Street,Dalby,4405,Non-State,Catholic,151.267671,-27.171856
5035,Our Lady of the Way School (Petrie),,Prep Year,Year 6,38 Armstrong Street,Petrie,4502,Non-State,Catholic,152.979183,-27.266613
5413,Our Lady's Catholic Primary School (Longreach),,Prep Year,Year 6,85 Eagle Street,Longreach,4730,Non-State,Catholic,144.251106,-23.439452
5356,Our Lady's College (Annerley),,Year 7,Year 12,15 Chester Road,Annerley,4103,Non-State,Catholic,153.031991,-27.515692
1970,Oxenford State School,,Prep Year,Year 6,90 Michigan Drive,Oxenford,4210,State,,153.303978,-27.899472
79,Oxley State School,,Prep Year,Year 6,Bannerman Street,Oxley,4075,State,,152.980617,-27.564262
2330,Pacific Lutheran College (Meridan Plains),,Prep Year,Year 12,Woodlands Boulevard,Meridan Plains,4551,Non-State,Independent,153.10533,-26.756543
1991,Pacific Paradise State School,,Prep Year,Year 6,14-24 Menzies Drive,Pacific Paradise,4564,State,,153.079317,-26.614227
1745,Pacific Pines State High School,,Year 7,Year 12,Archipelago Street,Pacific Pines,4211,State,,153.320612,-27.943121
1744,Pacific Pines State School,,Prep Year,Year 6,Santa Isobel Boulevard,Pacific Pines,4211,State,,153.320279,-27.939962
5300,Padua College (Kedron),,Year 5,Year 12,80 Turner Road,Kedron,4031,Non-State,Catholic,153.025124,-27.407491
831,Pallara State School,,Prep Year,Year 6,39 Ritchie Road,Pallara,4110,State,,152.993493,-27.629043
240,Palm Beach State School,,Prep Year,Year 6,13-19 Nineteenth Avenue,Palm Beach,4221,State,,153.46316,-28.110702
2129,Palm Beach-Currumbin State High School,,Year 7,Year 12,Thrower Drive,Palm Beach,4221,State,,153.474277,-28.131675
592,Palmwoods State School,,Prep Year,Year 6,111 Palmwoods-Montville Road,Palmwoods,4555,State,,152.946776,-26.693342
983,Park Avenue State School,,Early Childhood,Year 6,Main Street,Park Avenue,4701,State,,150.507166,-23.359323
5700,Park Lake State School,,Prep Year,Year 6,1 Shoalhaven Avenue,Pacific Pines,4211,State,,153.30285,-27.93682
2187,Park Ridge State High School,,Year 7,Year 12,14-30 Lancewood Street,Park Ridge,4125,State,,153.0337,-27.70035
515,Park Ridge State School,,Prep Year,Year 6,3776 Mt Lindesay Highway,Park Ridge,4125,State,,153.038861,-27.701652
1467,Parke State School,,Prep Year,Year 6,400 Teddington Road,Tinana South,4650,State,,152.668952,-25.588254
