stop_id,state_code,Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number
136,NSW,Canley Vale,Railway,Pde,Ramp,-33.88734662,150.94341980000002,
137,NSW,Canterbury,Canterbury,Rd,Path,-33.912116299999994,151.11901369999998,
138,NSW,Capitol Square LR,Hay,St,Path,-33.87970841,151.2055584,
139,NSW,Capitol Square LR,Hay,St,Path,-33.87980415,151.205512,
140,NSW,Cardiff,Main,Rd,Path,-32.9412794,151.66281980000002,
141,NSW,Cardiff,Mary,St,Stairs,-32.94145731,151.6623011,
142,NSW,Cardiff,Mary,St,Lift,-32.94140925,151.6622554,
143,NSW,Caringbah,Kingsway,,Lift,-34.04162513,151.1219142,
144,NSW,Caringbah,Kingsway,,Stairs,-34.04157881,151.121856,
145,NSW,Carlingford,Lloyds,Ave,Path,-33.78217116,151.047273,
146,NSW,Carlingford,James,St,Path,-33.7821273,151.04684419999998,
147,NSW,Carlingford,Lloyds,Ave,Ramp,-33.78270924,151.046786,
148,NSW,Carlingford,Lloyds,Ave,Path,-33.78287488,151.0466571,
149,NSW,Carlingford,Pennant Hills,Rd,Path,-33.78304357,151.04635109999998,
150,NSW,Carlton,Railway,Pde,Lift,-33.96842236,151.1245362,
151,NSW,Carlton,Carlton,Pde,Lift,-33.96801021,151.1243905,
152,NSW,Carlton,Railway,Pde,Stairs,-33.96846874,151.12434419999997,
153,NSW,Carlton,Carlton,Pde,Stairs,-33.96809212,151.12423769999998,
154,NSW,Carlton,Carlton,Pde,Ramp,-33.96798067,151.1241795,
155,NSW,Carramar,Sandal,Cres,Path,-33.88476847,150.96072980000002,
156,NSW,Carramar,Carramar,Ave,Path,-33.88431636,150.9605645,
157,NSW,Casula,Casula,Rd,Stairs,-33.95004957,150.9121379,
158,NSW,Casula,Casula,Rd,Lift,-33.95035283,150.91207980000001,
159,NSW,Casula,Casula,Rd,Lift,-33.950187400000004,150.9117283,
160,NSW,Casula,Casula,Rd,Path,-33.95036803,150.91170580000002,
161,NSW,Casula,Casula,Rd,Stairs,-33.95032929999999,150.9116866,
162,NSW,Central,Elizabeth,St,Ramp,-33.88352173,151.2079563,4.0
163,NSW,Central,Elizabeth,St,Lift,-33.88371032,151.20789950000002,5.0
164,NSW,Central,Elizabeth,St,Stairs,-33.88378577,151.207862,5.0
165,NSW,Central,Eddy,Ave,Stairs,-33.88302433,151.2070762,3.0
166,NSW,Central,Eddy,Ave,Escalators,-33.883208200000006,151.20701119999998,3.0
167,NSW,Central,Eddy,Ave,Lift,-33.88353624,151.20697109999998,3.0
168,NSW,Central,Eddy,Ave,Path,-33.88253976,151.2068849,2.0
169,NSW,Central,Chalmers,St,Lift,-33.88541283,151.2068475,6.0
170,NSW,Central,Chalmers,St,Escalators,-33.88544474,151.206822,6.0
171,NSW,Central,Chalmers,St,Stairs,-33.88547844,151.20679009999998,6.0
172,NSW,Central,Eddy,Ave,Path,-33.88233009,151.2065038,2.0
173,NSW,Central,Eddy,Ave,Stairs,-33.88210298,151.2061254,
174,NSW,Central,Eddy,Ave,Escalators,-33.88213747,151.20609869999998,
175,NSW,Central,Pitt,St,Path,-33.88236674,151.2058136,1.0
176,NSW,Central,Lee,St,Path,-33.88398512,151.20426630000003,7.0
177,NSW,Chatswood,Post Office,Lane,Stairs,-33.79722746,151.1814421,
178,NSW,Chatswood,Post Office,Lane,Escalators,-33.79718558,151.18142869999997,
179,NSW,Chatswood,Orchard,Rd,Stairs,-33.79677523,151.1813805,
180,NSW,Chatswood,Orchard,Rd,Escalators,-33.79673649,151.1813641,
181,NSW,Chatswood,Post Office,Lane,Lift,-33.79717607,151.1813031,
182,NSW,Chatswood,Thomas,St,Lift,-33.79765173,151.1812637,
183,NSW,Chatswood,Thomas,St,Stairs,-33.79766719,151.18118130000002,
184,NSW,Chatswood,Orchard,Rd,Lift,-33.79673526,151.1811761,
185,NSW,Chatswood,Railway,St,Lift,-33.79689881,151.1807121,
186,NSW,Chatswood,Thomas,Lane,Lift,-33.7979301,151.18069330000003,
187,NSW,Chatswood,Railway,St,Stairs,-33.79709534,151.18067380000002,
188,NSW,Chatswood,Thomas,St,Stairs,-33.797903000000005,151.180647,
189,NSW,Chatswood,Railway,St,Escalators,-33.79705047,151.1805363,
190,NSW,Chatswood,Railway,St,Stairs,-33.79701563,151.1805215,
191,NSW,Cheltenham,Cheltenham,Rd,Stairs,-33.75539745,151.0781497,
192,NSW,Cheltenham,Cheltenham,Rd,Lift,-33.75543909,151.0781092,
193,NSW,Chester Hil,Chester Hill,Rd,Path,-33.88368818,151.00046269999999,
194,NSW,Circular Quay,Alfred,St,Stairs,-33.86146378,151.21079450000002,
195,NSW,Circular Quay,Alfred,St,Escalators,-33.86127776,151.2107739,
196,NSW,Circular Quay,Alfred,St,Escalators,-33.86143954,151.2107457,
197,NSW,Circular Quay,Alfred,St,Lift,-33.86124347,151.2107343,
198,NSW,Circular Quay,Alfred,St,Lift,-33.86146637,151.2107121,
199,NSW,Circular Quay,Alfred,St,Stairs,-33.86131441,151.21065919999998,
200,NSW,Circular Quay,Alfred,St,Stairs,-33.86131245,151.2106239,
201,NSW,Circular Quay,Alfred,St,Stairs,-33.86138049,151.21061559999998,
202,NSW,Circular Quay,Alfred,St,Escalators,-33.86125995,151.2105656,
203,NSW,Circular Quay,Alfred,St,Escalators,-33.86139905,151.2103289,
204,NSW,Clarendon,Racecource,Rd,Ramp,-33.60844245,150.7878928,
205,NSW,Clarendon,Racecource,Rd,Path,-33.60848854,150.787844,
206,NSW,Clarendon,Racecource,Rd,Ramp,-33.60859421,150.7877637,
207,NSW,Clyde,Berry,St,Ramp,-33.83554673,151.0170387,1.0
208,NSW,Clyde,Factory,St,Ramp,-33.83606198,151.0165639,2.0
209,NSW,Coalcliff,Lawrence Hargrave ,Dr,Stairs,-34.24253571,150.97705200000001,
210,NSW,Cockle Creek,Lake,Rd,Stairs,-32.94246711,151.62443059999998,
211,NSW,Cockle Creek,Creek Reserve,Rd,Path,-32.94287548,151.62381259999998,
212,NSW,Coledale,Cater,St,Stairs,-34.28989285,150.94303100000002,
213,NSW,Como,Railway,Rd,Stairs,-34.00454075,151.0683305,
214,NSW,Como,Railway,Rd,Stairs,-34.00437623,151.068248,
215,NSW,Como,Como,Pde,Ramp,-34.00447157,151.0676891,
216,NSW,Concord West,Queen,St,Stairs,-33.84809272,151.08595259999998,
217,NSW,Concord West,Queen,St,Lift,-33.84803171,151.0859019,
218,NSW,Concord West,King,St,Stairs,-33.84821375,151.0852126,
219,NSW,Concord West,King,St,Lift,-33.84808986,151.08519950000002,
220,NSW,Concord West,King,St,Stairs,-33.84795404,151.08519040000002,
221,NSW,Coniston,Bridge,St,Stairs,-34.43823905,150.8851205,
222,NSW,Coniston,Gladsone,Ave,Ramp,-34.43796566,150.88484499999998,
223,NSW,Convention Centre LR,Darling,Dr,Ramp,-33.87286403,151.1981517,
224,NSW,Corrimal,Duff,Pde,Path,-34.37549456,150.9051489,
225,NSW,Corrimal,Railway,St,Path,-34.37567312,150.9048905,
226,NSW,Cowan,Pacific,Hwy,Ramp,-33.59298034,151.171638,
227,NSW,Cowan,Pacific,Hwy,Ramp,-33.5937893,151.17156509999998,
228,NSW,Cringila,Central,Rd,Stairs,-34.46708061,150.8799583,
229,NSW,Cringila,Five Island,Rd,Stairs,-34.46737362,150.87827230000002,
230,NSW,Cronulla,Cronulla,St,Path,-34.05684046,151.1517217,
231,NSW,Cronulla,Cronulla,St,Path,-34.05572731,151.1515991,
232,NSW,Cronulla,Cronulla,St,Path,-34.05535773,151.15143480000003,
233,NSW,Croydon,Hennessy,St,Ramp,-33.88283666,151.11551540000002,
234,NSW,Croydon,Paisley,Rd,Stairs,-33.8831857,151.1150828,
235,NSW,Dapto,Station,St,Path,-34.4923588,150.7922224,
236,NSW,Dapto,Staiton,St,Path,-34.49307785,150.79183390000003,
237,NSW,Dapto,Bong Bong,Rd,Path,-34.49348285,150.7914602,
238,NSW,Dapto,Bong Bong,Rd,Path,-34.493435,150.7913065,
239,NSW,Denistone,Gordon,Cres,Path,-33.79951928,151.08675390000002,
240,NSW,Domestic,Keith Smith,Ave,Stairs,-33.93362671,151.1805736,
241,NSW,Domestic,Keith Smith,Ave,Lift,-33.93356911,151.1805681,
242,NSW,Domestic,Keith Smith,Ave,Stairs,-33.93400809,151.1801419,
243,NSW,Domestic,Keith Smith,Ave,Escalators,-33.93400343,151.18011330000002,
244,NSW,Domestic,Keith Smith,Ave,Lift,-33.93398698,151.18004960000002,
245,NSW,Doonside,School,Pde,Ramp,-33.76401541,150.8692816,
