,,,,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count
period,,,,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
suburb,postcode,Category,Subcategory,,,,,,,,,,,,,,,,,,,,,,
ADELAIDE,5000,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,11,13,12,7,3,16,10,3,10,5,5,2,5,4,3,4,5,13,8,3,5,5
ADELAIDE,5000,ROBBERY AND RELATED OFFENCES,Aggravated robbery,14,20,17,13,5,17,11,16,9,11,11,8,7,9,9,13,9,13,9,8,5,6
ADELAIDE,5000,ROBBERY AND RELATED OFFENCES,Blackmail and extortion,2,2,1,0,2,1,0,0,1,3,3,1,2,1,1,4,0,0,0,2,1,0
ADELAIDE,5000,ROBBERY AND RELATED OFFENCES,Non-aggravated robbery,5,3,7,6,6,5,11,8,2,2,3,3,5,5,5,6,1,6,6,4,2,4
ADELAIDE,5000,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,58,52,35,36,30,31,36,34,24,25,53,17,41,31,47,47,38,38,40,36,37,35
ADELAIDE,5000,SERIOUS CRIMINAL TRESPASS,SCT - Residence,13,22,13,19,10,9,13,10,32,13,20,17,16,15,18,22,14,20,25,21,17,19
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Other theft,348,432,416,349,341,315,316,363,342,322,328,309,347,383,411,389,301,376,396,412,350,354
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,52,55,49,63,59,58,44,48,47,46,50,58,52,57,62,46,56,60,46,49,52,62
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Theft from motor vehicle,48,64,64,54,52,58,62,60,67,60,49,47,45,51,61,69,62,51,53,60,40,64
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Theft from shop,243,186,184,169,216,181,163,180,164,166,173,194,201,183,212,270,165,242,234,259,247,207
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,32,29,18,20,19,12,20,23,20,20,17,20,22,5,17,24,32,27,15,21,22,19
ADELAIDE,5001,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADELAIDE,5001,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADELAIDE,5001,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ADELAIDE,5001,THEFT AND RELATED OFFENCES,Other theft,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ADELAIDE AIRPORT,5950,ACTS INTENDED TO CAUSE INJURY,Assault Police,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADELAIDE AIRPORT,5950,ACTS INTENDED TO CAUSE INJURY,Common Assault,1,1,0,1,0,0,1,1,1,0,3,2,1,3,3,2,0,1,1,4,1,3
ADELAIDE AIRPORT,5950,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADELAIDE AIRPORT,5950,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,0,0,0,0,1,0,2,0,0,0,1,3,0,1,1,1,0,1,0,3,1,0
ADELAIDE AIRPORT,5950,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1,0,0,0,0,0,4,2,0,1,0,3,0,2,4,0,2,0,0,1,0,3
ADELAIDE AIRPORT,5950,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,0,0
ADELAIDE AIRPORT,5950,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
ADELAIDE AIRPORT,5950,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADELAIDE AIRPORT,5950,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
ADELAIDE AIRPORT,5950,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ADELAIDE AIRPORT,5950,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,4,3,2,8,3,4,4,4,4,6,3,0,0,3,2,2,3,3,3,3,2,3
ADELAIDE AIRPORT,5950,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADELAIDE AIRPORT,5950,ROBBERY AND RELATED OFFENCES,Aggravated robbery,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ADELAIDE AIRPORT,5950,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,0,0,0,4,0,0,0,1,0,0,1,1,0,0,2,0,0,1,0,0,0,0
ADELAIDE AIRPORT,5950,THEFT AND RELATED OFFENCES,Other theft,10,9,13,10,13,15,11,14,16,11,15,6,11,18,8,11,15,15,15,8,3,19
ADELAIDE AIRPORT,5950,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,3,1,0
ADELAIDE AIRPORT,5950,THEFT AND RELATED OFFENCES,Theft from motor vehicle,2,3,4,3,2,5,3,2,4,1,1,1,2,3,0,1,2,2,1,1,2,2
ADELAIDE AIRPORT,5950,THEFT AND RELATED OFFENCES,Theft from shop,5,3,2,4,1,10,7,10,12,10,15,9,13,7,9,8,5,5,4,15,22,20
ADELAIDE AIRPORT,5950,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,8,7,4,7,9,5,9,9,1,3,5,7,9,10,8,7,2,6,2,5,3,3
AGERY,5558,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGERY,5558,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALAWOONA,5311,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ALAWOONA,5311,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ALAWOONA,5311,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALAWOONA,5311,SERIOUS CRIMINAL TRESPASS,SCT - Residence,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALAWOONA,5311,THEFT AND RELATED OFFENCES,Other theft,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAWOONA,5311,THEFT AND RELATED OFFENCES,Theft from motor vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALAWOONA,5311,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
ALBERT PARK,5014,ACTS INTENDED TO CAUSE INJURY,Common Assault,1,2,0,1,1,0,3,1,1,2,2,0,1,0,3,1,1,1,2,1,1,2
ALBERT PARK,5014,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,2,0,2,0,0,4,3,7,4,2,1,3,1,1,1,4,2,1,0,0,1,1
ALBERT PARK,5014,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ALBERT PARK,5014,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
ALBERT PARK,5014,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALBERT PARK,5014,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
ALBERT PARK,5014,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBERT PARK,5014,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,0,0,0,1,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0
ALBERT PARK,5014,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
ALBERT PARK,5014,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2,4,5,5,8,4,4,8,5,4,9,10,6,8,4,5,1,4,5,4,4,4
ALBERT PARK,5014,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALBERT PARK,5014,ROBBERY AND RELATED OFFENCES,Aggravated robbery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ALBERT PARK,5014,ROBBERY AND RELATED OFFENCES,Non-aggravated robbery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALBERT PARK,5014,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,0,1,1,1,5,0,2,1,0,2,1,2,0,2,0,2,0,0,4,3,0,1
ALBERT PARK,5014,SERIOUS CRIMINAL TRESPASS,SCT - Residence,3,2,0,3,2,2,0,5,7,0,1,1,0,3,1,3,2,5,3,1,1,1
ALBERT PARK,5014,THEFT AND RELATED OFFENCES,Other theft,2,4,4,2,3,3,3,4,4,7,9,6,8,5,4,4,6,4,0,2,1,4
ALBERT PARK,5014,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2
ALBERT PARK,5014,THEFT AND RELATED OFFENCES,Theft from motor vehicle,2,4,2,7,4,2,3,5,16,4,3,5,5,4,4,10,5,2,1,1,0,1
ALBERT PARK,5014,THEFT AND RELATED OFFENCES,Theft from shop,0,1,0,1,0,0,0,0,1,1,0,1,1,1,3,0,2,0,1,0,0,0
ALBERT PARK,5014,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1,2,2,1,1,1,0,3,0,3,0,0,5,1,1,3,1,0,2,0,1,0
ALBERTON,5014,ACTS INTENDED TO CAUSE INJURY,Assault Police,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBERTON,5014,ACTS INTENDED TO CAUSE INJURY,Common Assault,6,2,1,2,1,1,1,1,4,3,1,0,1,3,1,2,2,2,5,5,3,4
ALBERTON,5014,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ALBERTON,5014,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1,5,6,2,1,4,5,2,0,2,3,7,7,2,1,4,2,6,5,2,4,7
ALBERTON,5014,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
ALBERTON,5014,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,2,1,0,0,2,1,1,0,0,1,0,2,1,3,3,0,0,4,3,3,1,0
ALBERTON,5014,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
