suburb,postcode,Category,Subcategory,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
ALDINGA,5173,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,,,,,,,,,,,,,,,,,,,,1
ALDINGA,5173,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1,,,,,,,,,,,,,1,,1,,,1,1,,
ALDINGA,5173,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",,,,,,,,,,,,,,1,,,,,,,,
ALDINGA,5173,HOMICIDE AND RELATED OFFENCES,Other homicide and related offences,,,,,,,,,,,,,,,,,,1,,,,
ALDINGA,5173,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,,,,,,,,,,1,,,,,,1,,,
ALDINGA,5173,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,1,,1,,,,,,,,,,1,,1,,,,,,2
ALDINGA,5173,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,1,,,,,,,,1,,,1,,,,,,,,
ALDINGA,5173,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,2,4,1,,,1,1,,1,,2,3,1,,,2,,1,,2,,
ALDINGA,5173,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1,2,1,1,2,1,2,3,2,2,2,,,2,,,3,2,,2,1,4
ALDINGA,5173,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,3,1,,1,,,,,,,,,,,,1,2,1,,2
ALDINGA,5173,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,4,2,2,1,2,,,8,,2,4,1,2,,1,2,3,2,1,2,,
ALDINGA,5173,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,1,,2,2,2,,,,1,,,1,,,1,1,1,1,1,
ALDINGA,5173,THEFT AND RELATED OFFENCES,Other theft,6,2,4,1,1,1,6,7,4,1,5,4,5,4,11,22,11,11,19,14,21,16
