suburb,postcode,Category,Subcategory,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
MODBURY HEIGHTS,5092,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1,4,2,4,6,10,2,1,3,11,4,3,3,8,6,5,5,4,3,5,3,5
MODBURY HEIGHTS,5092,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,2,,,,2,,,,,1,1,,1,,,1,,,,
MODBURY HEIGHTS,5092,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,,,,1,,,,,1,1,1,,2,,,1,,,3
MODBURY HEIGHTS,5092,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",,,,,2,,,,1,,,,,,,1,,,,,,
MODBURY HEIGHTS,5092,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,2,,,1,,2,,,,2,,,,,1,,,,1,,
MODBURY HEIGHTS,5092,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,1,1,,1,,,,1,,,,,,,,1,,,,
MODBURY HEIGHTS,5092,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,1,1,1,,,,1,2,,2,,,1,3,1,,,,1
MODBURY HEIGHTS,5092,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,4,2,3,2,,,1,,1,5,1,2,3,4,,1,,4,,1,1,2
MODBURY HEIGHTS,5092,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,15,6,15,12,7,9,4,7,17,9,4,2,5,8,9,12,5,6,9,7,6,7
MODBURY HEIGHTS,5092,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,2,1,,,1,,,,,,,,1,,3,1,2,1,2,,1,
MODBURY HEIGHTS,5092,ROBBERY AND RELATED OFFENCES,Aggravated robbery,,,,,,,,,,,,,,,1,,,,,,,
MODBURY HEIGHTS,5092,ROBBERY AND RELATED OFFENCES,Blackmail and extortion,,,,,,,,,,,,,,1,,,,,,,,
MODBURY HEIGHTS,5092,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,4,1,,1,4,,1,1,,,,1,2,9,2,,1,,
MODBURY HEIGHTS,5092,SERIOUS CRIMINAL TRESPASS,SCT - Residence,3,7,6,4,1,6,2,2,2,7,4,2,4,3,2,3,7,8,,4,3,1
MODBURY HEIGHTS,5092,THEFT AND RELATED OFFENCES,Other theft,4,3,7,4,8,5,3,2,10,1,3,2,8,1,4,9,9,8,3,3,9,2
MODBURY HEIGHTS,5092,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,1,,1,,1,1,,1,,,,,,1,1,1,2,,,,2
MODBURY HEIGHTS,5092,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,5,10,7,4,2,10,2,15,11,4,5,3,8,12,19,6,9,7,8,8,5
MODBURY HEIGHTS,5092,THEFT AND RELATED OFFENCES,Theft from shop,,3,2,,7,2,3,,6,3,1,2,4,2,,2,1,,1,5,,3
MODBURY HEIGHTS,5092,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,3,,2,2,1,2,1,1,,3,,2,,2,,3,3,1,2,,3,
MODBURY NORTH,5092,ACTS INTENDED TO CAUSE INJURY,Assault Police,,2,,,,,1,,,,,,,,2,,1,,1,2,,
MODBURY NORTH,5092,ACTS INTENDED TO CAUSE INJURY,Common Assault,2,4,2,3,3,1,2,5,1,4,6,2,5,7,3,1,2,1,3,3,4,1
MODBURY NORTH,5092,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,1,,,,,,,,,,,,,1,,,,,,,,3
MODBURY NORTH,5092,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,7,2,2,2,6,7,7,5,6,6,4,3,2,7,1,5,3,10,2,3,6
MODBURY NORTH,5092,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,1,,,,1,,,,,,,,,,,1,,,,
MODBURY NORTH,5092,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,1,,2,1,,,,1,4,1,,1,,1,1,,1,,2,1
MODBURY NORTH,5092,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",1,,1,,1,1,2,1,2,1,,1,1,1,,,1,,,,1,
MODBURY NORTH,5092,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,,,1,,1,,,,,1,,1,,1,,1,1,1
MODBURY NORTH,5092,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,1,4,1,3,,1,3,,1,3,1,1,2,2,2,,1,1,2,,,1
MODBURY NORTH,5092,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1,1,3,,2,,,,,,,,1,2,2,,,,,1,,1
MODBURY NORTH,5092,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,5,3,9,13,9,3,9,6,10,3,11,10,8,5,13,3,5,8,8,10,2,7
MODBURY NORTH,5092,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,2,,1,,2,,,3,,1,1,,,,1,,1,,1,2,,
MODBURY NORTH,5092,ROBBERY AND RELATED OFFENCES,Aggravated robbery,,1,,,,,,,,,,,,,,,,,,,,
MODBURY NORTH,5092,ROBBERY AND RELATED OFFENCES,Blackmail and extortion,,1,,,,,1,,,,,,,,,,,,,,,
MODBURY NORTH,5092,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,3,1,2,3,2,,,3,4,3,1,,2,,,,2,2,1,2,4,
MODBURY NORTH,5092,SERIOUS CRIMINAL TRESPASS,SCT - Residence,8,11,7,2,5,7,5,5,4,3,6,6,8,9,10,11,6,3,4,1,4,3
MODBURY NORTH,5092,THEFT AND RELATED OFFENCES,Other theft,5,12,19,14,8,9,10,12,8,11,7,1,5,19,7,12,17,12,3,8,18,15
MODBURY NORTH,5092,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1,1,,1,,1,,2,3,1,,1,2,1,2,1,,,,4,2,1
MODBURY NORTH,5092,THEFT AND RELATED OFFENCES,Theft from motor vehicle,3,7,11,16,5,3,6,3,8,6,5,12,10,7,6,12,9,6,3,5,1,3
MODBURY NORTH,5092,THEFT AND RELATED OFFENCES,Theft from shop,3,2,2,4,2,2,,2,3,3,6,4,3,2,2,,2,4,2,2,2,
MODBURY NORTH,5092,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,2,4,2,2,1,1,6,4,,1,1,1,2,2,1,3,3,3,,2,3,
MONARTO,5254,ACTS INTENDED TO CAUSE INJURY,Common Assault,1,,,1,1,,,,1,,,,,,1,1,,,,,1,
MONARTO,5254,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,1,,,1,,,,,,,,,,,,,,,,,
MONARTO,5254,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,,,,,1,,,,,,,,,,,,,,
MONARTO,5254,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",1,,,,,,,,,,,,,,,,,,,,,
MONARTO,5254,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,,,,,,,,,,,1,,,,,,,,
MONARTO,5254,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,,,,,,,,,1,,,,,,,,1,
MONARTO,5254,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,,,,,,1,1,,,,,,,,,,,,
MONARTO,5254,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,2,,2,,,,1,4,1,,1,,,,1,,,,1,1,
MONARTO,5254,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,,,1,1,,,1,,,,,,,,,,,,,
MONARTO,5254,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,,,,1,,2,,,,1,1,,,,,,,,
MONARTO,5254,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,,,,,,1,1,,1,,1,,,
MONARTO,5254,THEFT AND RELATED OFFENCES,Other theft,1,1,1,5,1,2,,2,,1,1,,,2,,2,1,1,1,1,1,
MONARTO,5254,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,,,,,,,,,,,2,,,,,,,2,,
MONARTO,5254,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,,,,,,1,,1,,1,,,,2,,1,,,,
MONARTO,5254,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1,,,,,,,1,,,1,,1,1,,,,,,,,
MONARTO SOUTH,5254,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,,,,,1,,,1,,2,,,,,,,1,
MONARTO SOUTH,5254,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,1,,,,,,,,,,,,,,,,,,,,,
MONARTO SOUTH,5254,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,1,1,,,,,,,,,,,,,,,,,,
MONARTO SOUTH,5254,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,,,,,,,,,1,,,,,,,,,,
MONARTO SOUTH,5254,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,1,1,,,,,1,,,,2,,,,,,1
MONARTO SOUTH,5254,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,2,,,,1,,,,,,,,,,,,,,,
MONARTO SOUTH,5254,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,1,1,,,,,,,,1,1,,,,,,1,,
MONARTO SOUTH,5254,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,1,,,,,,,,,,,,,,,,,,
MONARTO SOUTH,5254,THEFT AND RELATED OFFENCES,Other theft,1,,,2,,1,1,,1,2,1,2,1,,,1,,,,2,1,1
MONARTO SOUTH,5254,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,,,,,,,1,,,,,1,,,,,,,,
MONARTO SOUTH,5254,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,1,,,,,,,,,,,,,,,,,,,
MONASH,5342,ACTS INTENDED TO CAUSE INJURY,Common Assault,,,,,2,,3,,,,,,1,,,,1,2,1,,3,
MONASH,5342,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,,,,,,,1,,,1,,,1,,1,,,,,,
MONASH,5342,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,1,,,,,4,1,1,,,,1,,,1,,,2,2,,
MONASH,5342,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,1,,,1,,,,,,,,,,,,,,,,
MONASH,5342,HOMICIDE AND RELATED OFFENCES,Murder,,,,,,1,,,,,,,,,,,,,,,,
MONASH,5342,HOMICIDE AND RELATED OFFENCES,Other homicide and related offences,,,,,,1,,,,,,,,,,,,,,,,
MONASH,5342,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,,,,,,,,1,,,,,,,,,1,,
MONASH,5342,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,,,,,1,,,1,,,,,,,,,,,,
MONASH,5342,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2,4,3,,2,2,3,,,1,,3,,1,2,1,1,2,1,,1,2
MONASH,5342,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,,,,,,,,,1,,,,,,,1,1,,,
MONASH,5342,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,3,1,2,5,1,3,2,2,,,,,1,,,,,1,,2,1,
MONASH,5342,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,1,,,,,,1,,1,1,,,,1,,1,,1,
MONASH,5342,THEFT AND RELATED OFFENCES,Other theft,1,3,2,2,1,,3,3,1,1,1,7,1,2,1,1,1,,1,1,1,3
MONASH,5342,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,,,,,,1,,1,,,,,,,,,,,,
MONASH,5342,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1,1,1,1,,,,1,,1,,,1,1,,1,,,2,,,
MONASH,5342,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,1,,,,1,,,,,,,3,1,,,1,1,,,,
MONBULLA,5277,ROBBERY AND RELATED OFFENCES,Aggravated robbery,,,,,,,,,,,,,,,,,2,,,,,
MONBULLA,5277,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,,,,,,,,,1,,,,,
MONBULLA,5277,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,,,,,,,1,,,,,
MONBULLA,5277,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,,,,,2,,,,,,,,,,,,,,,
MONBULLA,5277,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,,,,,,,,,,,,,,1,,,,,
MONGOLATA,5417,ACTS INTENDED TO CAUSE INJURY,Common Assault,,,,,,,,,,,,,,,,,,,,,,2
MONTACUTE,5134,ACTS INTENDED TO CAUSE INJURY,Common Assault,,,,,,,,,,,,,,1,,,,,,,,
MONTACUTE,5134,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,,,,,,,,,,,,,,1,,,,
MONTACUTE,5134,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,,,,,,,,,,,,,,,,1,,,
MONTACUTE,5134,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,1,,,,,,,,,,,,,,,,,,
MONTACUTE,5134,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1,,2,,,,,,,,,,,,,,,,,,,
MONTACUTE,5134,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,,,,,,,2,1,,,,,,,,,
MONTACUTE,5134,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,,,2,,,1,,,,,,,1,,,,,,,
MONTACUTE,5134,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,1,,,,,,,,,,,,,,,,,,,,
MONTACUTE,5134,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,1,,1,1,,,,,,,,,,,,,,,,,
MONTACUTE,5134,THEFT AND RELATED OFFENCES,Other theft,,,,1,1,,,,,,,,,,,,1,,,,,
MONTACUTE,5134,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,,,1,,,,1,,,6,3,,,,1,,,,,
MONTACUTE,5134,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,1,,1,,,,,,,,,,,,1,1,,,,,
MONTEITH,5254,ACTS INTENDED TO CAUSE INJURY,Common Assault,,,,,,,,,1,,,,,,,,,,,,,
MONTEITH,5254,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,,,,,1,,,,,,,,,,,,,,,,
MONTEITH,5254,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,,,,,,,1,1,,,,,,,,,,
MONTEITH,5254,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",,,,,1,,,,,,,,,,,,,,,,,
MONTEITH,5254,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,,,,,,,,,,1,,,,,,,,,
MONTEITH,5254,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,1,,,,,,,,,,,,,,,,,,,,
MONTEITH,5254,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,1,,,,,,,,1,,,,,,,,
MONTEITH,5254,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,,,,,,,1,1,,,,,,,,,,,
MONTEITH,5254,THEFT AND RELATED OFFENCES,Other theft,,,,,1,1,,,,1,,,,1,,,,,,,,
MONTEITH,5254,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,,,,,,,,,,,,,,,,,,,1,
MOOMBA,5733,ACTS INTENDED TO CAUSE INJURY,Common Assault,1,,,,,,,,,,,,,,,,,,,,,
MOOMBA,5733,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,,,,,,,,,1,,,,,,,,,,
MOOMBA,5733,THEFT AND RELATED OFFENCES,Other theft,,,1,1,,,,,,,1,1,,1,1,,,,,,,
MOOMBA,5733,THEFT AND RELATED OFFENCES,Theft from shop,,,,,,,,,,,,,,,1,,,,,,,
MOONABIE,5602,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,1,,,,,,,,,,,,,,,,,,,
MOONABIE,5602,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,1,,,,,,,,,,,,,,,,,,,
MOONAREE,5710,ACTS INTENDED TO CAUSE INJURY,Common Assault,,1,,,,,,,,,,,,,,,,,,,,
MOONTA,5558,ACTS INTENDED TO CAUSE INJURY,Assault Police,,,,,,1,,,,,,,,,,1,,2,,,,
MOONTA,5558,ACTS INTENDED TO CAUSE INJURY,Common Assault,,4,1,1,1,1,1,1,5,1,2,1,1,,1,1,1,2,3,3,2,4
MOONTA,5558,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,,,,,,,,2,,1,,,,,,,,,,,1
MOONTA,5558,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1,,5,1,1,1,3,,3,1,1,4,2,,,2,3,1,,1,3,
MOONTA,5558,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,,,,1,,,,,2,,,,,,,,,,1,4
MOONTA,5558,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,1,,,1,1,,3,,,1,,,1,,1,,,,,1,3
MOONTA,5558,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",,,,1,,,1,,,,,,,,,,,,,1,,
MOONTA,5558,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,,,,,,,,,,,,,,,,,1,,
MOONTA,5558,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,,,,,,,,,,,,,,,1,,,
MOONTA,5558,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,,,,,,1,1,1,2,,,,,,,,1,1,
MOONTA,5558,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,,,,,2,3,1,1,1,,1,1,,,1,,,,,1
MOONTA,5558,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,3,5,7,6,7,5,8,5,6,4,6,3,11,4,,3,1,2,,7,5,2
MOONTA,5558,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,,,1,1,,1,1,,,,,,,,,,,,,
MOONTA,5558,ROBBERY AND RELATED OFFENCES,Aggravated robbery,,,,,,,1,,,1,,,,,,,,,,,,
MOONTA,5558,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,4,4,4,2,2,5,3,7,5,3,2,4,10,1,4,1,,3,2,4,2
MOONTA,5558,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,2,,,2,2,,4,1,2,,3,,1,,,,3,3,4
MOONTA,5558,THEFT AND RELATED OFFENCES,Other theft,1,5,4,4,2,2,1,3,5,6,3,11,3,5,1,1,1,2,2,2,4,2
MOONTA,5558,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,,,,,,1,,1,1,,,,,,,,,,,
MOONTA,5558,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,1,2,,,,1,3,2,1,2,,2,,1,,2,3,1,,1,1
MOONTA,5558,THEFT AND RELATED OFFENCES,Theft from shop,,2,2,5,2,1,2,2,1,,2,2,,1,,2,,1,1,1,2,4
MOONTA,5558,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,1,,1,1,,,,1,,,,,2,,1,1,,1,,1,
MOONTA BAY,5558,ACTS INTENDED TO CAUSE INJURY,Assault Police,,1,,,,,1,,,,,,,,,,,,1,,,
MOONTA BAY,5558,ACTS INTENDED TO CAUSE INJURY,Common Assault,1,,7,1,1,,,1,,2,,,1,1,2,2,,,1,2,1,1
MOONTA BAY,5558,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,1,,,,1,,,,,,,,,,,,,,1,2,
MOONTA BAY,5558,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,2,1,,,,,1,2,3,,2,2,2,3,3,,1,2,1,2,4
MOONTA BAY,5558,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,,,,,,,,,1,,,,,,,,,,,
MOONTA BAY,5558,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,,,,,,,,,1,1,,,,,,1,,2,
MOONTA BAY,5558,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,,,,,,,,,,,1,,,,,,,,
MOONTA BAY,5558,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,3,,,,,,,,1,,1,,,,,,,,1,
MOONTA BAY,5558,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,1,,,,2,,1,,,,,,,,,,,,,
MOONTA BAY,5558,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,3,2,3,4,1,1,,2,1,,3,2,1,6,3,4,2,2,3,3,4,6
MOONTA BAY,5558,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,2,,,,,,,,1,1,,1,1,,1,3,2,,1,,
MOONTA BAY,5558,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1,4,1,,1,1,2,1,2,1,1,2,,2,,3,,3,2,3,4,6
MOONTA BAY,5558,THEFT AND RELATED OFFENCES,Other theft,1,5,3,2,2,2,6,4,2,,2,6,1,3,3,5,3,3,6,3,3,2
MOONTA BAY,5558,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,,,,,,,,,,1,,,,,,,,,,
MOONTA BAY,5558,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,1,3,1,2,,1,,,,1,2,2,3,,3,,1,,1,2
MOONTA BAY,5558,THEFT AND RELATED OFFENCES,Theft from shop,,,1,,,,,,,1,,,,1,,,,,,,,
MOONTA BAY,5558,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1,,,1,,,,1,,1,,,1,,,,,,,,1,2
MOONTA MINES,5558,ACTS INTENDED TO CAUSE INJURY,Common Assault,,1,,,,2,,,,,,,,,,,,,,,,
MOONTA MINES,5558,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,1,2,,,,1,,,,1,,1,,,,,,,
MOONTA MINES,5558,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,,,,,,,,,,,,,,,,,1,,
MOONTA MINES,5558,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,,,1,,,,,,,,,,,,,,,,,
MOONTA MINES,5558,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,1,,1,,,,,,,,,,,,,,2,
MOONTA MINES,5558,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,1,,,,,,,,,,,,,,,1,,1,2,
MOONTA MINES,5558,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,,,3,,,,,,,,,,,
MOONTA MINES,5558,THEFT AND RELATED OFFENCES,Other theft,1,,2,,,,,2,1,,,,,,,,,,1,,,
MOONTA MINES,5558,THEFT AND RELATED OFFENCES,Theft from shop,,,,,,,,,,,,,,,,,,,,,1,
MOONTA MINES,5558,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,1,,,,,,,,,,,,,,,,,,,,
MOORAK,5291,ACTS INTENDED TO CAUSE INJURY,Common Assault,1,,,,1,,,1,3,1,2,4,2,,2,3,1,1,1,,1,3
MOORAK,5291,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,,1,,,,1,,,,,,,,1,2,,1,
MOORAK,5291,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,,,,,,,,,,,,,,,1,,,,,
MOORAK,5291,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,,,,,,,,1,,,,,,,,,,,
MOORAK,5291,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,,,,,,,,,,1,,,,,,,,,
MOORAK,5291,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,,,,,,,,,,,,,,,,1,,,,
MOORAK,5291,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1,,,,,,,,,,1,1,,,,,,,1,,,1
MOORAK,5291,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,3,1,,1,,,,1,,,,,2,,,,,,,,,1
MOORAK,5291,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,2,,1,,,,,,,,,,,,,,,,
MOORAK,5291,THEFT AND RELATED OFFENCES,Other theft,,1,,2,,1,,,,,1,,1,2,,,,,,1,,
MOORAK,5291,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,,,,1,,1,,,,,,,,,,,,,,
MOORAK,5291,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1,,,1,,,,,,,1,,1,,,,,,,,,
MOORLANDS,5301,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,2,,,,,,,,,,,,,,,,
MOORLANDS,5301,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,,,1,,,,,,,,1,,,,,,,,
MOORLANDS,5301,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,,,,,,,1,,,,,
MOORLANDS,5301,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,,,,,,,,,,,,,,,1,1,,,
MOOROOK,5332,ACTS INTENDED TO CAUSE INJURY,Common Assault,1,,,,1,,,,,,1,,,1,,,,1,,,,
MOOROOK,5332,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,,,1,,,,,,,,,,,,,,,,,1,
MOOROOK,5332,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,1,,,,,,3,,1,,,,,,,2,,1,,
MOOROOK,5332,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,,,1,,,,,,,,,,,,,,,,,
MOOROOK,5332,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,,,,,,,,1,,,,,,,,,,,,
MOOROOK,5332,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2,1,1,2,2,,,,1,,1,1,,1,,2,2,1,2,,1,
MOOROOK,5332,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,2,,,,,1,,,,,1,,,,,,,1,,,
MOOROOK,5332,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,,,2,,,,,,,,,,,
MOOROOK,5332,THEFT AND RELATED OFFENCES,Other theft,,,1,2,2,1,1,1,6,3,,,1,4,1,1,1,,,,,3
MOOROOK,5332,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,,,,,,,,,,,,,,,1,,,,,
MOOROOK,5332,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,1,,,,1,,1,,,,,,,,,1,,,,
MOOROOK,5332,THEFT AND RELATED OFFENCES,Theft from shop,,,,,,,,,,,,,,,,,,,,,1,
MOOROOK,5332,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,1,,,,,,,,,,,,,,1,1,,,,,
MOOROOK SOUTH,5332,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,,,,,,1,,,,,,,,
MOOROWIE,5576,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,,,1,,,,,,,,,
MOORUNDIE,5357,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,,,,,,,,,,,1,
