Postcode,Suburb,City,State,Statecode,1 BR Flat,2 BR Flat,3 BR Flat,4 BR Flat,1 BR House,2 BR House,3 BR House,4 BR House,id
5037,Kurralta Park,Adelaide,South Australia,SA,245.0,250.0,475.0,250.0,,335.0,410.0,,184
5045,Glenelg North,Adelaide,South Australia,SA,245.0,300.0,475.0,540.0,,350.0,445.0,625.0,185
5037,Netley,Adelaide,South Australia,SA,,280.0,440.0,,,,360.0,,186
5045,Glenelg South,Adelaide,South Australia,SA,250.0,330.0,415.0,,,435.0,455.0,,187
5037,North Plympton,Adelaide,South Australia,SA,178.0,350.0,475.0,,170.0,247.77,385.0,155.0,188
5044,Glengowrie,Adelaide,South Australia,SA,167.5,140.0,327.5,,,330.0,420.0,450.0,189
5065,Glenside,Adelaide,South Australia,SA,262.5,300.0,420.0,,,445.0,660.0,577.5,190
5038,Plympton,Adelaide,South Australia,SA,220.0,285.0,300.0,,245.0,335.0,320.0,400.0,191
5064,Glenunga,Adelaide,South Australia,SA,195.0,325.0,435.0,575.0,,,567.5,800.0,192
5038,Plympton Park,Adelaide,South Australia,SA,,195.95,,,210.0,335.0,270.0,407.5,193
5110,Globe Derby Park,Adelaide,South Australia,SA,,,,,,,,450.0,194
5038,South Plympton,Adelaide,South Australia,SA,250.0,285.0,380.0,,170.0,345.0,380.0,440.0,195
5070,Glynde,Adelaide,South Australia,SA,,305.0,420.0,,,320.0,422.5,425.0,196
5125,Golden Grove,Adelaide,South Australia,SA,,297.5,360.0,,390.0,290.0,370.0,510.0,197
5039,Melrose Park,Adelaide,South Australia,SA,176.18,310.0,310.0,,,320.0,370.0,,198
5040,Novar Gardens,Adelaide,South Australia,SA,,,,,,,400.0,560.0,199
5086,Greenacres,Adelaide,South Australia,SA,,255.0,,,,300.0,350.0,,200
5125,Greenwith,Adelaide,South Australia,SA,,,,,,275.0,350.0,442.5,201
5096,Gulfview Heights,Adelaide,South Australia,SA,,260.0,,,,,405.0,610.0,202
5163,Hackham,Adelaide,South Australia,SA,225.0,270.0,252.1,,165.0,90.0,295.0,365.0,203
5041,Panorama,Adelaide,South Australia,SA,,287.5,,,,352.5,400.0,440.0,204
5163,Hackham West,Adelaide,South Australia,SA,89.7,,,,,,295.0,,205
5041,Westbourne Park,Adelaide,South Australia,SA,247.5,282.5,,,,,575.0,490.0,206
5069,Hackney,Adelaide,South Australia,SA,,,385.0,,,360.0,200.0,675.0,207
5158,Hallett Cove,Adelaide,South Australia,SA,,335.0,,,,295.0,370.0,440.0,208
5086,Hampstead Gardens,Adelaide,South Australia,SA,157.0,280.0,,,,335.0,275.0,,209
5042,Flinders University,Adelaide,South Australia,SA,,,,,,,,,210
5159,Happy Valley,Adelaide,South Australia,SA,,,435.0,,,,345.0,390.0,211
5042,Pasadena,Adelaide,South Australia,SA,,262.5,,,,325.0,375.0,425.0,212
5062,Hawthorn,Adelaide,South Australia,SA,235.0,302.5,,,,,520.0,170.0,213
5042,St Marys,Adelaide,South Australia,SA,230.0,250.0,,,150.0,,360.0,,214
5051,Hawthorndene,Adelaide,South Australia,SA,180.0,,,,,292.5,420.0,422.5,215
5066,Hazelwood Park,Adelaide,South Australia,SA,275.0,327.5,,,,,550.0,515.0,216
5043,Marion,Adelaide,South Australia,SA,45.05,260.0,450.0,,,300.0,390.0,460.0,217
5068,Heathpool,Adelaide,South Australia,SA,,295.0,,,,,562.5,,218
5043,Mitchell Park,Adelaide,South Australia,SA,215.0,270.0,385.0,,,244.0,360.0,,219
5073,Hectorville,Adelaide,South Australia,SA,255.0,280.0,445.0,,,277.5,375.0,360.0,220
5043,Morphettville,Adelaide,South Australia,SA,,167.1,340.0,,,273.2,187.65,400.0,221
5043,Park Holme,Adelaide,South Australia,SA,183.0,250.0,350.0,,,310.0,191.8,420.0,222
5044,Somerton Park,Adelaide,South Australia,SA,211.0,310.0,420.0,750.0,,405.0,430.0,550.0,223
5089,Highbury,Adelaide,South Australia,SA,,,330.0,,,,350.0,475.0,224
5063,Highgate,Adelaide,South Australia,SA,250.0,305.0,407.5,600.0,,725.0,530.0,,225
5112,Hillbank,Adelaide,South Australia,SA,,220.0,,,,217.5,320.0,360.0,226
5045,Glenelg Jetty Road,Adelaide,South Australia,SA,,,,,,,,,227
5086,Hillcrest,Adelaide,South Australia,SA,,272.5,,,,122.6,375.0,440.0,228
5046,Oaklands Park,Adelaide,South Australia,SA,226.0,290.0,372.5,,250.0,364.0,410.0,410.0,229
5088,Holden Hill,Adelaide,South Australia,SA,,260.0,280.0,,,290.0,345.0,,230
5046,Warradale,Adelaide,South Australia,SA,220.0,297.5,350.0,450.0,,335.0,435.0,420.0,231
5046,Warradale North,Adelaide,South Australia,SA,,,,,,,,,232
5048,Hove,Adelaide,South Australia,SA,310.0,285.0,340.0,,,340.0,390.0,470.0,233
5163,Huntfield Heights,Adelaide,South Australia,SA,,,291.0,,,285.0,300.0,380.0,234
5047,Seacombe Gardens,Adelaide,South Australia,SA,285.0,,357.5,,,212.95,390.0,425.0,235
5047,Seacombe Heights,Adelaide,South Australia,SA,,,,,,,395.0,520.0,236
5098,Ingle Farm,Adelaide,South Australia,SA,235.0,,241.5,,130.0,265.0,335.0,360.0,237
5047,Sturt,Adelaide,South Australia,SA,146.0,350.0,430.0,,,365.0,402.5,475.0,238
5070,Joslin,Adelaide,South Australia,SA,300.0,295.0,,,,430.0,,630.0,239
5157,Kangarilla,Adelaide,South Australia,SA,,,,,,,360.0,,240
5068,Kensington,Adelaide,South Australia,SA,,322.5,380.0,,,410.0,435.0,790.0,241
5068,Kensington Gardens,Adelaide,South Australia,SA,181.0,325.0,,,,,445.0,605.0,242
5048,North Brighton,Adelaide,South Australia,SA,,295.0,420.0,,,395.0,520.0,750.0,243
5068,Kensington Park,Adelaide,South Australia,SA,265.0,340.0,,,,445.0,425.0,,244
5048,South Brighton,Adelaide,South Australia,SA,215.0,300.0,360.0,,350.0,340.0,360.0,495.0,245
5067,Kent Town,Adelaide,South Australia,SA,330.0,260.0,537.5,,,295.0,620.0,,246
5071,Kent Town,Adelaide,South Australia,SA,330.0,260.0,537.5,,,295.0,620.0,,247
5049,Kingston Park,Adelaide,South Australia,SA,265.0,325.0,,,,,,570.0,248
5049,Marino,Adelaide,South Australia,SA,,,600.0,,,,400.0,475.0,249
5049,Seacliff,Adelaide,South Australia,SA,,310.0,362.0,,,362.5,462.5,755.0,250
5084,Kilburn,Adelaide,South Australia,SA,275.0,240.0,307.5,,125.0,246.5,280.0,172.5,251
5049,Seacliff Park,Adelaide,South Australia,SA,,280.0,,,430.0,,467.5,510.0,252
5049,Seaview Downs,Adelaide,South Australia,SA,,,,,250.0,330.0,410.0,420.0,253
5062,Kingswood,Adelaide,South Australia,SA,,330.0,,,,,537.5,627.5,254
5087,Klemzig,Adelaide,South Australia,SA,220.0,270.0,350.0,,380.0,280.0,357.5,377.5,255
5068,Leabrook,Adelaide,South Australia,SA,262.5,300.0,,,,,570.0,,256
5065,Linden Park,Adelaide,South Australia,SA,255.0,310.0,390.0,,,320.0,675.0,880.0,257
5061,Malvern,Adelaide,South Australia,SA,250.0,360.0,,,,397.5,495.0,650.0,258
5061,Unley,Adelaide,South Australia,SA,275.0,335.0,460.0,,190.0,412.5,520.0,520.0,259
5062,Lower Mitcham,Adelaide,South Australia,SA,250.0,320.0,380.0,,,365.0,435.0,800.0,260
5061,Unley Park,Adelaide,South Australia,SA,,342.5,440.0,,,,,525.0,261
5062,Lynton,Adelaide,South Australia,SA,,,,,,,,750.0,262
5062,Brown Hill Creek,Adelaide,South Australia,SA,,,,,,,,,263
5121,Macdonald Park,Adelaide,South Australia,SA,,,,,,,,460.0,264
5072,Magill,Adelaide,South Australia,SA,225.0,275.0,350.0,,550.0,352.5,420.0,535.0,265
5086,Manningham,Adelaide,South Australia,SA,220.0,,,,,,380.0,450.0,266
5070,Marden,Adelaide,South Australia,SA,245.0,305.0,308.0,,,86.3,450.0,580.0,267
5062,Mitcham,Adelaide,South Australia,SA,,280.0,,,,,730.0,,268
5062,Mitcham Shopping Centre,Adelaide,South Australia,SA,,,,,,,,,269
5062,Netherby,Adelaide,South Australia,SA,,285.0,,,,320.0,545.0,,270
5062,Springfield,Adelaide,South Australia,SA,,,,,,,,,271
5068,Marryatville,Adelaide,South Australia,SA,180.0,342.5,495.0,,,375.0,535.0,,272
5062,Torrens Park,Adelaide,South Australia,SA,,277.5,,,,390.0,400.0,420.0,273
5170,Maslin Beach,Adelaide,South Australia,SA,,,,,,340.0,330.0,,274
5095,Mawson Lakes,Adelaide,South Australia,SA,230.0,310.0,345.0,,,330.0,380.0,460.0,275
5069,Maylands,Adelaide,South Australia,SA,,322.5,,,240.0,335.0,395.0,600.0,276
5171,Mclaren Flat,Adelaide,South Australia,SA,,,,,,,350.0,450.0,277
5171,Mclaren Vale,Adelaide,South Australia,SA,,,,,,,340.0,482.5,278
5063,Parkside,Adelaide,South Australia,SA,257.5,335.0,400.0,,310.0,437.5,520.0,612.5,279
5081,Medindie,Adelaide,South Australia,SA,,,,,175.0,,450.0,,280
5081,Medindie Gardens,Adelaide,South Australia,SA,,,,,,,550.0,430.0,281
5064,Mount Osmond,Adelaide,South Australia,SA,,,,,,,510.0,,282
5064,Myrtle Bank,Adelaide,South Australia,SA,181.0,285.0,390.0,,,325.0,500.0,,283
5064,St Georges,Adelaide,South Australia,SA,,350.0,,,,,490.0,797.5,284
5064,Urrbrae,Adelaide,South Australia,SA,,,,,,,400.0,720.0,285
5169,Moana,Adelaide,South Australia,SA,,282.5,522.5,,150.0,280.0,330.0,420.0,286
5092,Modbury,Adelaide,South Australia,SA,175.0,275.0,315.0,,,272.5,330.0,350.0,287
5092,Modbury Heights,Adelaide,South Australia,SA,,,,,,,350.0,425.0,288
5065,Toorak Gardens,Adelaide,South Australia,SA,257.5,325.0,,,,,750.0,975.0,289
5092,Modbury North,Adelaide,South Australia,SA,,295.0,320.0,,,,352.5,365.0,290
5065,Tusmore,Adelaide,South Australia,SA,,335.0,,,,,,,291
5162,Morphett Vale,Adelaide,South Australia,SA,160.0,270.0,297.5,342.5,165.0,295.0,315.0,372.5,292
5115,Munno Para,Adelaide,South Australia,SA,,265.0,221.6,,,267.0,285.0,320.0,293
5066,Stonyfell,Adelaide,South Australia,SA,,,,,,,,480.0,294
5115,Munno Para Downs,Adelaide,South Australia,SA,,,,,,,,365.0,295
5066,Waterfall Gully,Adelaide,South Australia,SA,,,,,,,,,296
5115,Munno Para West,Adelaide,South Australia,SA,,196.0,302.5,,,,300.0,335.0,297
5066,Wattle Park,Adelaide,South Australia,SA,,,,,,340.0,410.0,422.5,298
5083,Nailsworth,Adelaide,South Australia,SA,223.5,280.0,,,,335.0,367.5,470.0,299
5067,Norwood,Adelaide,South Australia,SA,252.5,337.5,480.0,,297.5,420.0,517.5,570.0,300
