,Unnamed: 0_level_0,Quarter,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4
,district,suburb,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences
37,,Kenny,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
38,,Kinlyside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,,Mitchell,0,5,0,0,8,1,15,1,0,1,91,5,31,0,3,0,0,1,0,13,0,0,4,101,5,31,0,4,0,0,5,2,12,0,0,2,89,4,13,0,5,0,0,7,5,11,0,0,4,65,5,29
40,,Moncrieff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,,Ngunnawal,0,11,1,0,17,2,32,1,0,1,19,18,33,0,4,0,0,7,2,17,0,0,0,19,19,18,0,8,0,0,6,2,16,1,0,2,8,17,28,0,7,2,1,6,0,24,0,0,0,6,27,14
42,,Nicholls,0,8,1,0,5,3,33,0,0,2,37,21,21,0,2,3,0,3,2,28,0,0,2,66,14,16,0,4,0,0,0,0,23,0,0,2,37,13,16,0,6,4,0,4,0,30,0,0,2,37,21,18
43,,Palmerston,0,2,0,0,7,3,20,0,0,1,32,21,10,0,4,0,0,1,1,8,1,0,1,43,5,18,0,10,11,0,5,0,16,0,0,1,22,12,6,0,2,2,0,6,1,15,0,0,1,20,15,6
44,,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,,Throsby,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
46,North Canberra,,0,177,24,8,145,58,571,23,0,29,894,302,488,0,148,17,4,105,39,643,13,0,42,1103,252,534,0,149,12,5,116,30,568,16,0,35,1086,221,551,0,188,17,2,131,45,623,10,1,33,1012,293,655
47,,Acton,0,1,2,0,3,2,32,1,0,4,105,13,26,0,2,0,1,4,3,13,1,0,4,160,6,27,0,2,1,0,3,6,28,1,0,1,73,13,18,0,2,1,0,4,4,24,0,0,1,162,6,30
48,,Ainslie,0,9,0,0,20,0,33,1,0,1,18,17,18,0,9,0,0,9,1,19,0,0,3,27,18,24,0,3,1,0,6,3,16,0,0,1,39,15,19,0,6,0,0,12,0,14,1,0,5,21,18,19
49,,Black Mountain,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,1,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0
50,,Braddon,0,19,6,0,18,16,79,3,0,2,79,44,56,0,11,1,1,9,9,73,3,0,3,92,41,56,0,15,2,0,12,2,59,4,0,6,89,37,61,0,13,0,0,13,8,91,3,0,6,77,56,66
51,,Campbell,0,3,4,0,3,3,14,0,0,2,28,9,16,0,1,5,0,10,1,17,0,0,2,38,13,16,0,0,1,0,7,0,11,0,0,0,20,7,11,0,2,0,2,6,2,22,0,0,1,27,27,14
52,,City,0,89,4,4,11,6,157,10,0,10,158,81,184,0,90,7,1,10,8,197,8,0,12,165,67,214,0,85,4,3,12,3,155,6,0,5,179,53,233,0,116,8,0,10,6,199,2,0,8,150,56,313
53,,Dickson,0,9,0,0,14,8,49,1,0,0,79,23,30,0,12,2,1,7,4,174,0,0,2,75,12,46,0,16,1,1,8,1,117,1,0,3,79,18,55,0,11,2,0,10,4,76,1,0,2,89,18,50
54,,Downer,0,9,2,0,1,1,6,0,0,0,9,4,11,0,4,0,0,2,2,3,0,0,1,27,2,13,0,1,0,0,3,1,15,0,0,1,9,5,5,0,2,1,0,10,1,12,0,0,0,15,4,13
55,,Duntroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
56,,Hackett,0,3,1,0,5,0,12,1,0,0,3,5,6,0,1,0,0,3,1,1,0,0,0,5,4,6,0,2,0,0,2,1,3,0,0,0,11,4,6,0,4,0,0,0,0,14,0,0,0,3,7,1
57,,Lyneham,0,8,3,1,15,5,34,1,0,5,128,22,54,0,7,0,0,12,2,32,0,0,5,97,22,41,0,4,0,0,16,2,50,0,0,5,127,11,37,0,11,2,0,9,4,53,0,0,3,87,27,38
58,,Majura,0,0,0,0,0,2,19,0,0,1,74,3,6,0,0,0,0,0,0,22,0,0,0,126,0,3,0,0,0,0,0,1,21,0,0,1,157,2,10,0,1,0,0,0,1,18,1,1,2,161,3,5
59,,O'Connor,0,4,1,0,15,2,34,1,0,1,34,13,14,0,0,1,0,16,0,26,1,0,3,39,19,14,0,4,0,0,24,3,39,1,0,0,20,14,21,0,2,0,0,16,3,25,1,0,1,53,16,21
60,,Parkes,0,4,0,2,0,6,14,0,0,1,55,16,12,0,1,0,0,2,0,8,0,0,0,27,4,15,0,0,0,0,1,1,9,1,0,3,30,3,10,0,2,0,0,1,0,5,0,0,1,38,3,16
61,,Reid,0,8,1,0,15,1,40,2,0,0,19,24,12,0,4,0,0,6,6,21,0,0,0,20,21,16,0,4,0,0,4,1,10,1,0,2,20,13,29,0,6,0,0,13,6,19,0,0,1,29,24,27
62,,Russell,0,0,0,0,0,0,3,0,0,0,20,1,4,0,1,0,0,0,0,1,0,0,0,21,0,7,0,0,0,0,0,0,1,0,0,0,8,1,4,0,0,0,0,0,0,1,0,0,0,13,0,3
63,,Turner,0,4,0,1,18,5,27,2,0,2,55,22,26,0,4,1,0,11,0,21,0,0,4,141,17,22,0,10,0,0,12,4,20,1,0,4,209,15,19,0,2,2,0,14,5,25,1,0,2,66,18,26
