,,,,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count
period,,,,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
suburb,postcode,Category,Subcategory,,,,,,,,,,,,,,,,,,,,,,
ADELAIDE,5001,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,
ADELAIDE,5001,THEFT AND RELATED OFFENCES,Other theft,1.0,,,,,,,,,,1.0,,,,,,,,,,,
ADELAIDE AIRPORT,5950,ACTS INTENDED TO CAUSE INJURY,Assault Police,,,,,,,,,,,,,,,,,,,,,,1.0
ADELAIDE AIRPORT,5950,ACTS INTENDED TO CAUSE INJURY,Common Assault,1.0,1.0,,1.0,,,1.0,1.0,1.0,,3.0,2.0,1.0,3.0,3.0,2.0,,1.0,1.0,4.0,1.0,3.0
ADELAIDE AIRPORT,5950,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,,,,,,,,,,,,,,,,,,1.0,,,
ADELAIDE AIRPORT,5950,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,1.0,,2.0,,,,1.0,3.0,,1.0,1.0,1.0,,1.0,,3.0,1.0,
ADELAIDE AIRPORT,5950,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1.0,,,,,,4.0,2.0,,1.0,,3.0,,2.0,4.0,,2.0,,,1.0,,3.0
ADELAIDE AIRPORT,5950,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",,,,,,,,,,,,,,1.0,,,1.0,1.0,4.0,,,
ADELAIDE AIRPORT,5950,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0
ADELAIDE AIRPORT,5950,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,,,,1.0,,,,,,,,,,,,,,
ADELAIDE AIRPORT,5950,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,
ADELAIDE AIRPORT,5950,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1.0,,,,,,,,2.0,,,,,,,,,,,,,
ADELAIDE AIRPORT,5950,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,4.0,3.0,2.0,8.0,3.0,4.0,4.0,4.0,4.0,6.0,3.0,,,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
ADELAIDE AIRPORT,5950,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,,,,,,,,,,,,,1.0,,,,,,,
ADELAIDE AIRPORT,5950,ROBBERY AND RELATED OFFENCES,Aggravated robbery,,,,,,,,,,,1.0,1.0,,,,,,,,,,
ADELAIDE AIRPORT,5950,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,4.0,,,,1.0,,,1.0,1.0,,,2.0,,,1.0,,,,
ADELAIDE AIRPORT,5950,THEFT AND RELATED OFFENCES,Other theft,10.0,9.0,13.0,10.0,13.0,15.0,11.0,14.0,16.0,11.0,15.0,6.0,11.0,18.0,8.0,11.0,15.0,15.0,15.0,8.0,3.0,19.0
ADELAIDE AIRPORT,5950,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,3.0,1.0,
ADELAIDE AIRPORT,5950,THEFT AND RELATED OFFENCES,Theft from motor vehicle,2.0,3.0,4.0,3.0,2.0,5.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,,1.0,2.0,2.0,1.0,1.0,2.0,2.0
ADELAIDE AIRPORT,5950,THEFT AND RELATED OFFENCES,Theft from shop,5.0,3.0,2.0,4.0,1.0,10.0,7.0,10.0,12.0,10.0,15.0,9.0,13.0,7.0,9.0,8.0,5.0,5.0,4.0,15.0,22.0,20.0
ADELAIDE AIRPORT,5950,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,8.0,7.0,4.0,7.0,9.0,5.0,9.0,9.0,1.0,3.0,5.0,7.0,9.0,10.0,8.0,7.0,2.0,6.0,2.0,5.0,3.0,3.0
AGERY,5558,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,1.0,,,,,,,,,,,,,,,,,,,
AGERY,5558,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,,,,,,,,,,,,,,,,,1.0,,
ALAWOONA,5311,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,,,,,,1.0,,,,,,,,,,,1.0,
ALAWOONA,5311,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,1.0,,,,,,,,,,1.0,,,,,,,,
