id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
831,Omeo Primary School,167 Day Avenue,Omeo,3898,Government,Primary,-37.100217,147.593082
843,Harrietville Primary School,165 Great Alpine Road,Harrietville,3741,Government,Primary,-36.887713,147.06493600000002
846,Mordialloc Beach Primary School,58 Barkly Street,Mordialloc,3195,Government,Primary,-38.005582000000004,145.088809
849,Healesville Primary School,2 View Street,Healesville,3777,Government,Primary,-37.65713287,145.5160425
854,Lake Bolac College,90 Montgomery Street,Lake Bolac,3351,Government,Pri/Sec,-37.720240999999994,142.837903
856,Toongabbie Primary School,Victoria Street,Toongabbie,3856,Government,Primary,-38.056967,146.62518300000002
859,Waubra Primary School,2110 Sunraysia Highway,Waubra,3352,Government,Primary,-37.353836,143.634455
860,Great Western Primary School,Stephenson Street,Great Western,3374,Government,Primary,-37.148513,142.85173
861,Maffra Primary School,22-28 Church Street,Maffra,3860,Government,Primary,-37.964002,146.97677
862,Broken Creek Primary School,413 Quinn Road,Broken Creek,3673,Government,Primary,-36.423279,145.889232
863,Lal Lal Primary School,12 Vaughan Street,Lal Lal,3352,Government,Primary,-37.676724,144.010707
864,Cobden Primary School,Silvester Street,Cobden,3266,Government,Primary,-38.327119,143.078121
866,St Leonards Primary School,1341 Murradoc Road,St Leonards,3223,Government,Primary,-38.17196,144.715034
876,Lilydale Primary School,63 - 65 Castella Street,Lilydale,3140,Government,Primary,-37.75367357,145.35406809999998
877,Bendigo Primary School,Old Violet Street,Bendigo,3550,Government,Primary,-36.757329,144.264982
878,Darraweit Guim Primary School,2 Darraweit Valley Road,Darraweit Guim,3756,Government,Primary,-37.401028100000005,144.8935664
880,Linton Primary School,28 Adair Street,Linton,3360,Government,Primary,-37.68406827,143.56130880000003
882,Invermay Primary School,187 Swinglers Road,Invermay,3352,Government,Primary,-37.52085014,143.8743932
887,Mitta Mitta Primary School,27 Giltrap Road,Mitta Mitta,3701,Government,Primary,-36.533414,147.379483
888,Camberwell Primary School,290 Camberwell Road,Camberwell,3124,Government,Primary,-37.832656,145.05795
890,Greenvale Primary School,12-24 Bradford Avenue,Greenvale,3059,Government,Primary,-37.640312,144.885933
912,Alexandra Primary School,15 Webster Street,Alexandra,3714,Government,Primary,-37.192568,145.711704
919,Rockbank Primary School,97-105 Westcott Parade,Rockbank,3335,Government,Primary,-37.732023,144.66214
932,Bannockburn Primary School,32 High Street,Bannockburn,3331,Government,Primary,-38.04699559,144.1700496
945,Doreen Primary School,75 Doctors Gully Road,Doreen,3754,Government,Primary,-37.606324,145.14648200000002
954,Talbot Primary School,2 Rowe Street,Talbot,3371,Government,Primary,-37.16865,143.703604
956,Yarra Glen Primary School,Symonds Street,Yarra Glen,3775,Government,Primary,-37.64909639,145.37161530000003
959,Elmhurst Primary School,48 Byerly Street,Elmhurst,3469,Government,Primary,-37.178015,143.25020800000001
981,Kangaroo Flat Primary School,60-80 Olympic Parade,Kangaroo Flat,3555,Government,Primary,-36.788258,144.23446299999998
982,Westmeadows Primary School,34-46 Riddell Street,Westmeadows,3049,Government,Primary,-37.675649,144.89569699999998
1002,Sunbury Primary School,41 The Heights,Sunbury,3429,Government,Primary,-37.597687,144.728144
1003,Diamond Creek Primary School,17 Clyde Street,Diamond Creek,3089,Government,Primary,-37.67184929,145.1516539
1004,Hesket Primary School,800 Romsey Road,Hesket,3442,Government,Primary,-37.34780909,144.6197775
1008,Axedale Primary School,81 High Street,Axedale,3551,Government,Primary,-36.786228,144.50146
1022,Vermont Primary School,4-10 Nurlendi Road,Vermont,3133,Government,Primary,-37.837658000000005,145.194176
1023,Tarnagulla Primary School,51 Stanley Street,Tarnagulla,3551,Government,Primary,-36.771263,143.828403
1026,Balwyn Primary School,86B Balwyn Road,Balwyn,3103,Government,Primary,-37.813944,145.081524
1028,Scoresby Primary School,11 Ingrid Street,Scoresby,3179,Government,Primary,-37.89395,145.227501
1030,Carisbrook Primary School,2 Camp Street,Carisbrook,3464,Government,Primary,-37.052061,143.812657
1033,Wandin Yallock Primary School,105 Beenak Road,Wandin North,3139,Government,Primary,-37.79035398,145.4364086
1034,Yering Primary School,22-24 Melba Highway,Yering,3770,Government,Primary,-37.7053494,145.3822185
1035,Dartmoor Primary School,76 Greenham Street,Dartmoor,3304,Government,Primary,-37.923017,141.276732
1051,Mickleham Primary School,1880 Mickleham Road,Mickleham,3064,Government,Primary,-37.563336,144.877199
1052,Inglewood Primary School,77 Sullivan Street,Inglewood,3517,Government,Primary,-36.573945,143.870446
1054,Chewton Primary School,1 Hunter Street,Chewton,3451,Government,Primary,-37.082327,144.26116399999998
1070,Bolinda Primary School,1 Mullalys Road,Bolinda,3432,Government,Primary,-37.43373498,144.7454039
1072,Napoleons Primary School,4721 Colac-Ballarat Road,Napoleons,3352,Government,Primary,-37.67862938,143.826459
1075,Kew Primary School,Peel Street,Kew,3101,Government,Primary,-37.804629999999996,145.03315600000002
1076,Haddon Primary School,398 Sago Hill Road,Haddon,3351,Government,Primary,-37.58863962,143.7217144
1079,Panmure Primary School,8759 Princes Highway,Panmure,3265,Government,Primary,-38.32935021,142.732528
1081,Dargo Primary School,137 Lind Avenue,Dargo,3862,Government,Primary,-37.459165000000006,147.249612
1090,Sorrento Primary School,32 Kerferd Avenue,Sorrento,3943,Government,Primary,-38.341789,144.740919
1091,Alfredton Primary School,89a Cuthberts Road,Alfredton,3350,Government,Primary,-37.55496802,143.8017398
1097,Bridgewater Primary School,34 - 44 Eldon Street,Bridgewater On Loddon,3516,Government,Primary,-36.603101,143.94591699999998
1098,Hastings Primary School,10 - 20 Hodgins Road,Hastings,3915,Government,Primary,-38.299463,145.189121
1103,Yackandandah Primary School,39 High Street,Yackandandah,3749,Government,Primary,-36.312095,146.836458
1104,Nagambie Primary School,31 Goulburn Street,Nagambie,3608,Government,Primary,-36.787589000000004,145.157226
1108,Heyfield Primary School,22 Temple Street,Heyfield,3858,Government,Primary,-37.982114,146.78493600000002
1111,Moorabbin Primary School,61 Worthing Road,Moorabbin,3189,Government,Primary,-37.942362,145.039171
1112,Mansfield Primary School,4 Apollo Street,Mansfield,3722,Government,Primary,-37.055507,146.08506200000002
1115,Middle Indigo Primary School,710 Indigo Creek Road,Indigo Valley,3688,Government,Primary,-36.156013,146.72484
1117,Briagolong Primary School,2 Church Street,Briagolong,3860,Government,Primary,-37.842801,147.06784299999998
1120,Lindenow Primary School,140 Henry Street,Lindenow,3865,Government,Primary,-37.800878999999995,147.45326599999999
1125,Broadford Primary School,17-23 Powlett Street,Broadford,3658,Government,Primary,-37.20257,145.046301
1126,Murchison Primary School,8-10 Impey Street,Murchison,3610,Government,Primary,-36.61718,145.214287
1134,Panton Hill Primary School,585 Kangaroo Grd-St Andrews Rd,Panton Hill,3759,Government,Primary,-37.64160566,145.2395564
1135,Glen Park Primary School,265 Ralstons Road,Glen Park,3352,Government,Primary,-37.524778999999995,143.934795
1136,Concongella Primary School,61 Concongella School Road,CONCONGELLA,3384,Government,Primary,-37.049558000000005,142.822316
1141,Bruthen Primary School,31 Great Alpine Road,Bruthen,3885,Government,Primary,-37.704214,147.83349199999998
1142,Swan Hill Primary School,123 Gray Street,Swan Hill,3585,Government,Primary,-35.346911,143.54325
1144,Porepunkah Primary School,2 Martley Street,Porepunkah,3740,Government,Primary,-36.699486,146.911022
1146,Leopold Primary School,1 Kensington Road,Leopold,3224,Government,Primary,-38.186890000000005,144.464536
1147,Inverleigh Primary School,54 High Street,Inverleigh,3321,Government,Primary,-38.10094228,144.0546877
1148,Glen Iris Primary School,170 Glen Iris Road,Glen Iris,3146,Government,Primary,-37.860436,145.065883
1150,Trawalla Primary School,11 Trawalla Road,Trawalla,3373,Government,Primary,-37.437731,143.469859
1165,Quarry Hill Primary School,25 Peel Street,Quarry Hill,3550,Government,Primary,-36.77507,144.280277
1167,Sebastopol Primary School,9 Warreen Street,Sebastopol,3356,Government,Primary,-37.59643401,143.844719
1176,Woodside Primary School,41 Beach Road,Woodside,3874,Government,Primary,-38.526680999999996,146.87668
1178,Noorat Primary School,MacKinnon's Bridge Road,Noorat,3265,Government,Primary,-38.190751,142.92873500000002
1181,Albert Park Primary School,Bridport Street,Albert Park,3206,Government,Primary,-37.841787,144.952395
1183,Williamstown Primary School,Cecil Street,Williamstown,3016,Government,Primary,-37.863809,144.89973600000002
1184,Boneo Primary School,582 Boneo Road,Boneo,3939,Government,Primary,-38.412073,144.886977
1190,Queenscliff Primary School,Cnr Stokes & Stevens Street,Queenscliff,3225,Government,Primary,-38.267224,144.656211
1194,Portland North Primary School,42 School Road,Portland North,3305,Government,Primary,-38.317639,141.57233100000002
1207,Timor Primary School,395 Bet Bet Creek Road,Timor,3465,Government,Primary,-36.984224,143.71198700000002
1208,Apsley Primary School,Laidlaw Street,Apsley,3319,Government,Primary,-36.973706,141.08248700000001
1211,Strathfieldsaye Primary School,9 Uxbridge Street,Strathfieldsaye,3551,Government,Primary,-36.804386,144.352731
1222,Skye Primary School,395 Ballarto Road,Skye,3977,Government,Primary,-38.117707,145.201245
1225,Tooborac Primary School,5185 Northern Highway,Tooborac,3522,Government,Primary,-37.039778999999996,144.798145
1231,Lucknow Primary School,Balmoral Crescent,Bairnsdale,3875,Government,Primary,-37.812667,147.630748
1244,Upper Plenty Primary School,10 Clarkes Road,Upper Plenty,3756,Government,Primary,-37.423711,145.057874
1252,Carlton North Primary School,60 Lee Street,Carlton North,3054,Government,Primary,-37.791064,144.973028
1254,Maldon Primary School,109 High Street,Maldon,3463,Government,Primary,-36.995039,144.065814
1259,Woori Yallock Primary School,1360 Healesville Road,Woori Yallock,3139,Government,Primary,-37.77737209,145.5326881
1263,Moyston Primary School,1349 Ararat-Halls Gap Road,Moyston,3377,Government,Primary,-37.301664,142.76785
1270,Buninyong Primary School,202 Simpson Street,Buninyong,3357,Government,Primary,-37.65410344,143.8857746
1273,Marysville Primary School,15 Falls Road,Marysville,3779,Government,Primary,-37.511982,145.74893899999998
1275,Langley Primary School,Crn Kyneton/Heathcote & Parsells Rd,Langley,3444,Government,Primary,-37.17118,144.489657
1277,Wandong Primary School,Rail Street,Wandong,3758,Government,Primary,-37.360304,145.027861
1282,Cowes Primary School,177 Settlement Road,Cowes,3922,Government,Primary,-38.456278000000005,145.241315
1288,Bullarto Primary School,131 Bullarto South Road,Bullarto,3461,Government,Primary,-37.405378999999996,144.218221
1293,Lismore Primary School,77 William Street,Lismore,3324,Government,Primary,-37.95459656,143.3392983
1295,Lower Plenty Primary School,126-146 Main Road,Lower Plenty,3093,Government,Primary,-37.726172,145.115498
1316,Specimen Hill Primary School,Inglewood Street,Golden Square,3555,Government,Primary,-36.762065,144.248897
1324,Bolwarra Primary School,249 Princes Highway,Bolwarra,3305,Government,Primary,-38.281613,141.613797
1330,Navarre Primary School,High Street,Navarre,3384,Government,Primary,-36.900737,143.11133700000002
1334,Warracknabeal Primary School,5 Werrigar Street,Warracknabeal,3393,Government,Primary,-36.257875,142.39126299999998
1335,Moyhu Primary School,2799 Wangaratta-Whitfield Road,Moyhu,3732,Government,Primary,-36.593173,146.38308700000002
1347,Natte Yallock Primary School,10 School Road,Natte Yallock,3465,Government,Primary,-36.942129,143.468003
1360,Clifton Hill Primary School,185 Gold St,Clifton Hill,3068,Government,Primary,-37.792308,144.98924499999998
1362,Christmas Hills Primary School,1409 Eltham-yarra Glen Road,Christmas Hills,3775,Government,Primary,-37.65393692,145.3041635
1365,Tallangatta Primary School,1 Wonga Grove,Tallangatta,3700,Government,Primary,-36.21479715,147.1741969
1366,Kialla Central Primary School,128 Central Kialla Road,Kialla,3631,Government,Primary,-36.452703,145.431154
1368,Mount Eliza Primary School,Wooralla Drive,Mount Eliza,3930,Government,Primary,-38.195467,145.09203
1369,San Remo Primary School,22 Bergin Grove,San Remo,3925,Government,Primary,-38.523852000000005,145.369453
1372,Dimboola Primary School,Hindmarsh Street,Dimboola,3414,Government,Primary,-36.453364,142.030403
1373,Whorouly Primary School,18 Church Street,Whorouly,3735,Government,Primary,-36.505441999999995,146.586653
1379,Merrijig Primary School,1820 Mount Buller Road,Merrijig,3723,Government,Primary,-37.102798,146.25688
1386,Lethbridge Primary School,2 Stephenson Street,Lethbridge,3332,Government,Primary,-37.969062,144.13456399999998
1399,Oxley Primary School,1050 Wangaratta-Whitfield Road,Oxley,3678,Government,Primary,-36.441561,146.360637
1401,Northcote Primary School,33 Helen Street,Northcote,3070,Government,Primary,-37.771758,144.99688
1402,North Melbourne Primary School,210 Errol Street,North Melbourne,3051,Government,Primary,-37.798613,144.950779
1403,Dandenong Primary School,174-182 Foster Street,Dandenong,3175,Government,Primary,-37.987916999999996,145.219821
1408,Malmsbury Primary School,28 Cameron Street,Malmsbury,3446,Government,Primary,-37.187315000000005,144.3869427
1409,Williamstown North Primary School,133 Melbourne Road,Williamstown,3016,Government,Primary,-37.855902,144.891757
1410,Kerang Primary School,75 - 79 Victoria Street,Kerang,3579,Government,Primary,-35.731693,143.92113799999998
1417,Drouin West Primary School,535 Main Neerim Road,Drouin West,3818,Government,Primary,-38.087115000000004,145.87171899999998
1420,Meredith Primary School,5 Wallace Street,Meredith,3333,Government,Primary,-37.84271017,144.0778091
1422,Edi Upper Primary School,832 Edi-Cheshunt Road,Edi Upper,3678,Government,Primary,-36.706471,146.448811
1428,Eaglehawk North Primary School,1-9 Bendigo-Pyramid Road,Eaglehawk,3556,Government,Primary,-36.706762,144.23727399999999
1432,Mooroopna Primary School,16-18 O'Brien Street,Mooroopna,3629,Government,Primary,-36.391363,145.360292
1434,Cairnlea Park Primary School,49 Carmody Drive,Cairnlea,3023,Government,Primary,-37.757556,144.787257
1435,Ballan Primary School,8-14 Duncan Street,Ballan,3342,Government,Primary,-37.60168009,144.2311016
1436,Mount Pleasant Primary School,401 Cobden Street,Ballarat,3350,Government,Primary,-37.577942799999995,143.8581493
1441,Tatura Primary School,28-40 Albert Street,Tatura,3616,Government,Primary,-36.444966,145.22992299999999
1455,Toolamba Primary School,69-77 Wren Street,Toolamba,3614,Government,Primary,-36.490521,145.34418200000002
1458,Harston Primary School,155 Harston Road,Tatura,3616,Government,Primary,-36.469859,145.141754
1463,Osbornes Flat Primary School,354 Osbornes Flat Road,Osbornes Flat,3691,Government,Primary,-36.31716,146.892571
1464,Frankston Primary School,Davey Street,Frankston,3199,Government,Primary,-38.14755735,145.1240309
1465,Donald Primary School,Walker Street,Donald,3480,Government,Primary,-36.367208000000005,142.98462800000001
1476,Beveridge Primary School,Arrowsmith Street,Beveridge,3753,Government,Primary,-37.472062,144.977755
1479,St Kilda Primary School,2B Brighton Road,St Kilda,3182,Government,Primary,-37.870222999999996,144.98901899999998
1484,Cape Clear Primary School,1539 Scarsdale-pitfield Road,Cape Clear,3351,Government,Primary,-37.79195536,143.6082053
1485,Warburton Primary School,16 Horners Road,Warburton,3799,Government,Primary,-37.75580451,145.7017044
1488,Tallarook Primary School,52 Main Road,Tallarook,3659,Government,Primary,-37.096764,145.10067
1489,Barnawartha Primary School,11-17 Stanely Street,Barnawartha,3688,Government,Primary,-36.101309,146.67588899999998
1490,Fitzroy North Primary School,Fergie Street,Fitzroy North,3068,Government,Primary,-37.78502,144.984149
1492,Ashby Primary School,2 Lawton Avenue,Geelong West,3218,Government,Primary,-38.138701,144.347375
1494,Preston Primary School,240 Tyler Street,Preston,3072,Government,Primary,-37.730548,145.01031
1503,Tooradin Primary School,Bayview Road,Tooradin,3980,Government,Primary,-38.207631,145.378493
1508,Glenferrie Primary School,78 - 98 Manningtree Road,Hawthorn,3122,Government,Primary,-37.824042,145.033857
1515,Elmore Primary School,36 Michie Street,Elmore,3558,Government,Primary,-36.497198,144.608912
