id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
238,St John's Catholic Primary School,Jerematta Street,Dapto,2530,Catholic,Primary,-34.49325,150.799363
239,St John the Baptist Primary School,12 Victoria St,Maitland,2320,Catholic,Primary,-32.73807,151.558325
240,St John's School,Queen St,Baradine,2396,Catholic,Primary,-30.950582,149.065925
241,St John's Primary School,2-4 Prince Street,Cobar,2835,Catholic,Primary,-31.498509000000002,145.83393600000002
242,St John's Primary School,Dickson Street,Lambton,2299,Catholic,Primary,-32.910351,151.710549
243,St John The Apostle Catholic Primary School,166 Alfred Street,Narraweena,2099,Catholic,Primary,-33.750459,151.274351
244,St John's Primary School,5 Mcculloch Street,Riverstone,2765,Catholic,Primary,-33.67541,150.871901
245,St John's Primary School,89 Dandaloo Street,Trangie,2823,Catholic,Primary,-32.03496,147.978546
246,St John The Baptist Catholic Primary School,7 Johnson St,Freshwater,2096,Catholic,Primary,-33.774908,151.28298600000002
247,St John The Baptist Catholic Primary School,21A Dulkara Road,Woy Woy South,2256,Catholic,Primary,-33.502835,151.304027
248,St John Vianney Catholic Primary School,78 Tempe Street,Greenacre,2190,Catholic,Primary,-33.903833,151.0593
249,St John Vianney's Primary School,60-66 Yambo Street,Morisset,2264,Catholic,Primary,-33.109189,151.485189
250,St Patrick's Primary School,113 Gregory Rd,Lochinvar,2321,Catholic,Primary,-32.70211,151.45523899999998
251,St Joseph's Primary School,Greville Street,South Murwillumbah,2484,Catholic,Primary,-28.331315999999998,153.398364
252,St Joseph's Primary School,80 Palace Street,Denman,2328,Catholic,Primary,-32.386959000000004,150.68913500000002
253,St Joseph's Primary School,36 Kemp Street,West Kempsey,2440,Catholic,Primary,-31.075540999999998,152.832134
254,St Joseph's Primary School,421 Ocean Drive,Laurieton,2443,Catholic,Primary,-31.640825,152.792044
255,Sts Peter and Paul Catholic Primary School,96 Manning Street,Kiama,2533,Catholic,Primary,-34.675825,150.85322299999999
256,St Joseph's Catholic School,Queen Street,Oberon,2787,Catholic,Primary,-33.705108,149.85678000000001
257,St Joseph's Catholic College,Russell Drysdale St,Gosford East,2250,Catholic,Secondary,-33.436858,151.346876
258,Holy Spirit Infants School,Church Street,Abermain,2326,Catholic,Primary,-32.81091,151.443237
259,St Joseph's Primary School,Adam St,Coraki,2471,Catholic,Primary,-28.989311999999998,153.286072
260,St Joseph's Catholic School,Pye St,Eugowra,2806,Catholic,Primary,-33.428149,148.373779
261,St Joseph's Primary School,Coree Street,Finley,2713,Catholic,Primary,-35.637614,145.57730800000002
262,St Joseph's Primary School,53 Denison Street,Gloucester,2422,Catholic,Primary,-32.00817,151.961621
263,St Joseph's Primary School,18 Ash Street,Leeton,2705,Catholic,Primary,-34.554930999999996,146.404439
264,St Joseph's Primary School,Farquhar Street,Merewether,2291,Catholic,Primary,-32.937049,151.758934
265,St Joseph's Catholic Primary School,108 Ocean Street,Narrabeen,2101,Catholic,Primary,-33.713045,151.30001399999998
266,St Joseph's School,Williewa Street,Portland,2847,Catholic,Primary,-33.353244000000004,149.988335
267,St Joseph's Primary School,Warlters Street,Port Macquarie,2444,Catholic,Primary,-31.429358,152.894868
268,St Joseph's Catholic Primary School,Watkin Street,Rockdale,2216,Catholic,Primary,-33.951347,151.13523600000002
269,St Joseph's Primary School,1 St Joseph's Drive,Taree,2430,Catholic,Primary,-31.912498,152.456446
270,St Joseph's Primary School,20 Coraki Rd,Woodburn,2472,Catholic,Primary,-29.072576,153.33785
271,St Joseph's Primary School,Adelaide Street,Blayney,2799,Catholic,Primary,-33.524941,149.257227
272,St Joseph's High School,Segenhoe Street,Aberdeen,2336,Catholic,Secondary,-32.167615000000005,150.88798400000002
273,St Joseph's School,21-35 Gundagai Street,Adelong,2729,Catholic,Primary,-35.313492,148.06687
274,St Joseph's Primary School,11 Perry Street,Alstonville,2477,Catholic,Primary,-28.838297999999998,153.437713
275,St Joseph's School,60 Fitzroy St,Barraba,2347,Catholic,Primary,-30.377121999999996,150.608957
276,St Bernard's Primary School  Batemans Bay,David Street,Batehaven,2536,Catholic,Primary,-35.739114,150.205622
277,St Francis Xavier's Primary School,Ernest Street,Belmont,2280,Catholic,Primary,-33.037763,151.66165900000001
278,St Joseph's Catholic Primary School,8 Wilson Ave,Belmore,2192,Catholic,Primary,-33.923891999999995,151.089192
279,St Joseph's School,29 Queen Street,Bombala,2632,Catholic,Primary,-36.906441,149.2359
280,St Joseph's School,Scott St,Boorowa,2586,Catholic,Primary,-34.438553000000006,148.71293899999998
281,St Joseph's Primary School,26C Bulahdelah Way,Bulahdelah,2423,Catholic,Primary,-32.404872999999995,152.213469
282,St Joseph's Catholic Primary School,50 Park Road,Bulli,2516,Catholic,Primary,-34.334055,150.918223
283,St Kevin's Primary School,228 Main Rd,Cardiff,2285,Catholic,Primary,-32.942795000000004,151.665665
284,St Joseph's Primary School,Shelton Street,Charlestown,2290,Catholic,Primary,-32.966894,151.702628
285,St Joseph's Catholic Primary School Como - Oyster Bay,Oyster Bay Road,Como,2226,Catholic,Primary,-34.00927,151.073429
286,St Joseph's Primary School,279 William Street,Condobolin,2877,Catholic,Primary,-33.084592,147.146801
287,St Joseph's Primary School,8 Blair St,Culcairn,2660,Catholic,Primary,-35.668659000000005,147.035821
