id,school_name,school_address,suburb,postcode,school_lat,school_lon,Category,Subtype,school_type,sector
6077,Magill School OSHC/Vac,Adelaide Street,Magill,5072,-34.913797,138.676799,CARE,OSHC,Out of School Hours Care,DEPT
6078,Marryatville PS-The Red Shed OSHCVac,Dankel Avenue,Kensington,5068,-34.924542,138.649185,CARE,OSHC,Out of School Hours Care,DEPT
6079,McLaren Flat Primary School OSHC,49 Main Road,McLaren Flat,5171,-35.206119,138.587289,CARE,OSHC,Out of School Hours Care,DEPT
6080,McLaren Vale - Willunga PS OSHC,249 Main Road,McLaren Vale,5171,-35.21939,138.541095,CARE,OSHC,Out of School Hours Care,DEPT
6081,Modbury CPC-7 OSHC/Vac,2-24 Golden Grove Road,Modbury North,5092,-34.825905,138.692227,CARE,OSHC,Out of School Hours Care,DEPT
6082,Reidy Park PS - Mt Gambier OSHC,O'Halloran Terrace,Mount Gambier,5290,-37.834544,140.771765,CARE,OSHC,Out of School Hours Care,DEPT
6083,Murray Bridge North OSHC/Vac,1 North Terrace,Murray Bridge,5253,-35.116071,139.270251,CARE,OSHC,Out of School Hours Care,DEPT
6084,Nailsworth Primary School OSHC/Vac,2 Balfour Street,Nailsworth,5083,-34.88242,138.603752,CARE,OSHC,Out of School Hours Care,DEPT
6085,Naracoorte PS OSHC/Vac,Park Terrace,Naracoorte,5271,-36.951082,140.738119,CARE,OSHC,Out of School Hours Care,DEPT
6087,Ascot Park PS OSHC - Extend,1-37 Pildappa Avenue,Park Holme,5043,-34.990774,138.554376,CARE,OSHC,Out of School Hours Care,DEPT
6088,Plympton PS OSHC/Vac,19 Owen Street,Plympton,5038,-34.9612,138.556819,CARE,OSHC,Out of School Hours Care,DEPT
6089,Pooraka PS OSHC/Vac,11 South Terrace,Pooraka,5095,-34.833519,138.613108,CARE,OSHC,Out of School Hours Care,DEPT
6090,Port Augusta West PS OSHC/Vac,46 Mildred Street,Port Augusta West,5700,-32.483205,137.754202,CARE,OSHC,Out of School Hours Care,DEPT
6091,Port Elliot PS OSHC Camp Australia,4 Cameron Street,Port Elliot,5212,-35.5234781,138.6774938,CARE,OSHC,Out of School Hours Care,DEPT
6093,Prospect Primary School OSHC/Vac,27 Gladstone Road,Prospect,5082,-34.884916,138.59012,CARE,OSHC,Out of School Hours Care,DEPT
6094,Reynella PS OSHC/Vac,55-63 Concord Drive,Old Reynella,5161,-35.100928,138.537502,CARE,OSHC,Out of School Hours Care,DEPT
6095,Richmond PS OSHC/Vac,8 Surrey Road,Keswick,5035,-34.943391,138.571798,CARE,OSHC,Out of School Hours Care,DEPT
6096,St Leonards PS OSHC/Vac,Jervois Street,Glenelg North,5045,-34.972261,138.519785,CARE,OSHC,Out of School Hours Care,DEPT
6097,Salisbury PS OSHC/Vac,10 Compuda Street,Salisbury,5108,-34.767152,138.647255,CARE,OSHC,Out of School Hours Care,DEPT
6099,Stirling East - Mt Lofty Area OSHC,51 Braeside Road,Stirling,5152,-35.002222,138.734746,CARE,OSHC,Out of School Hours Care,DEPT
6101,Athelstone School OSHC/Vac,8A Brookside Road,Athelstone,5076,-34.867631,138.699613,CARE,OSHC,Out of School Hours Care,DEPT
6104,Unley OSHC Inc - OSCARS/Vac,Rugby Street,Malvern,5061,-34.953713,138.609731,CARE,OSHC,Out of School Hours Care,DEPT
6105,Uraidla Primary School OSHC/Vac,17 Kidney Street,Uraidla,5142,-34.959029,138.743391,CARE,OSHC,Out of School Hours Care,DEPT
6106,Victor Harbor R-7 OSHC Camp Aust,The Parkway,Victor Harbor,5211,-35.540745,138.624353,CARE,OSHC,Out of School Hours Care,DEPT
6107,Virginia Primary School OSHC/Vac,Park Road,Virginia,5120,-34.664481,138.555693,CARE,OSHC,Out of School Hours Care,DEPT
6108,Waikerie Primary School OSHC/Vac,23 Coombe Terrace,Waikerie,5330,-34.181117,139.981115,CARE,OSHC,Out of School Hours Care,DEPT
6115,Gidja Club Vacation Care,30 Ravendale Road,Port Lincoln,5606,-34.736509,135.864041,CARE,OSHC,Out of School Hours Care,NONDEPT
6118,Woodville PS OSHC/Vac,Evans Street,Woodville South,5011,-34.880569,138.532716,CARE,OSHC,Out of School Hours Care,DEPT
6120,Berri PS OSHC/Vac,11 Sultana Street,Berri,5343,-34.279661,140.594112,CARE,OSHC,Out of School Hours Care,DEPT
6121,Prospect Nth PS OSHC/Vac,30 Stuart Road,Prospect,5082,-34.874397,138.596495,CARE,OSHC,Out of School Hours Care,DEPT
6122,Mark Oliphant Coll B-12 OSHC Camp Au,99 Douglas Drive,Munno Para,5115,-34.665475,138.683575,CARE,OSHC,Out of School Hours Care,DEPT
6123,Brighton Primary School OSHC/Vac,1 Highet Avenue,Brighton,5048,-35.016259,138.526309,CARE,OSHC,Out of School Hours Care,DEPT
6124,Hallett Cove School OSHC/Vac,2-32 Gledsdale Road,Hallett Cove,5158,-35.075965,138.511116,CARE,OSHC,Out of School Hours Care,DEPT
6125,Linden Park Primary School OSHC/Vac,14 Hay Road,Linden Park,5065,-34.9478,138.646019,CARE,OSHC,Out of School Hours Care,DEPT
6126,Madison Park PS OSHC/Vac,19 Lincoln Avenue,Salisbury East,5109,-34.783863,138.662355,CARE,OSHC,Out of School Hours Care,DEPT
6127,Forbes Primary School OSHC/Vac,80 Thomas Street,South Plympton,5038,-34.978139,138.557598,CARE,OSHC,Out of School Hours Care,DEPT
6128,Walkerville Primary School OSHC/Vac,159 Stephen Terrace,Walkerville,5081,-34.895194,138.613241,CARE,OSHC,Out of School Hours Care,DEPT
6129,Tea Tree Gully PS OSHC/Vac,11/13 Neale Street,Tea Tree Gully,5091,-34.822942,138.727177,CARE,OSHC,Out of School Hours Care,DEPT
6130,Salisbury North School OSHC/Vac,Rolleston Avenue,Salisbury North,5108,-34.753166,138.635361,CARE,OSHC,Out of School Hours Care,DEPT
6131,Darlington Primary School OSHC/Vac,9-11 White Crescent,Seacombe Gardens,5047,-35.027204,138.546916,CARE,OSHC,Out of School Hours Care,DEPT
6132,Trinity Gardens PS OSHC/Vac,160 Portrush Road,Trinity Gardens,5068,-34.907992,138.641783,CARE,OSHC,Out of School Hours Care,DEPT
6133,Paringa Park PS OSHC Camp Australia,21 Bowker Street,North Brighton,5048,-35.00266361,138.52577442,CARE,OSHC,Out of School Hours Care,DEPT
6134,Hendon Primary School OSHC/Vac,Cedar Avenue,Royal Park,5014,-34.878622,138.510533,CARE,OSHC,Out of School Hours Care,DEPT
6137,Burnside PS OSHC/Vac,11 High Street,Burnside,5066,-34.935601,138.661574,CARE,OSHC,Out of School Hours Care,DEPT
6138,Charles Campbell College OSHC/Vac,Campbell Road,Paradise,5075,-34.87403,138.674133,CARE,OSHC,Out of School Hours Care,DEPT
6139,Clare PS OSHC/Vac,137 Main North Road,Clare,5453,-33.840746,138.618052,CARE,OSHC,Out of School Hours Care,DEPT
6141,Colonel Light Gardens PS OSHC/Vac,Windsor Avenue,Colonel Light Gardens,5041,-34.986809,138.59544,CARE,OSHC,Out of School Hours Care,DEPT
6142,Willunga PS OSHC/Vac,247 Main Road,Willunga,5172,-35.269384,138.552628,CARE,OSHC,Out of School Hours Care,DEPT
6144,Elizabeth North PS OSHC/Vac,141 Woodford Road,Elizabeth North,5113,-34.703178,138.673909,CARE,OSHC,Out of School Hours Care,DEPT
6145,Elizabeth Grove Primary School OSHC,20 Haynes Street,Elizabeth Grove,5112,-34.73233,138.669527,CARE,OSHC,Out of School Hours Care,DEPT
6146,Klemzig Primary School OSHC/Vac Camp,2 Hay Street,Klemzig,5087,-34.877176,138.637665,CARE,OSHC,Out of School Hours Care,DEPT
6147,Seacliff PS OSHC/Vac,Barwell Avenue,Seacliff,5049,-35.037621,138.523978,CARE,OSHC,Out of School Hours Care,DEPT
6148,Coober Pedy AS OSHC,Paxton Road,Coober Pedy,5723,-29.012364,134.752206,CARE,OSHC,Out of School Hours Care,DEPT
6149,Christies Beach PS OSHC Camp Aust,46 Maturin Avenue,Christies Beach,5165,-35.138009,138.479076,CARE,OSHC,Out of School Hours Care,DEPT
6150,Stradbroke School OSHC/Vac,73 Koonga Avenue,Rostrevor,5073,-34.893467,138.68405,CARE,OSHC,Out of School Hours Care,DEPT
6151,Clovelly Park Primary Schl OSHC/Vac,1 Renown Place,Clovelly Park,5042,-34.998429,138.565416,CARE,OSHC,Out of School Hours Care,DEPT
6152,Warradale Primary School OSHC/Vac,Keynes Avenue,Warradale,5046,-35.004,138.537907,CARE,OSHC,Out of School Hours Care,DEPT
6155,Gawler and District College OSHC,Barnet Road,Evanston,5116,-34.6090004,138.73692527,CARE,OSHC,Out of School Hours Care,DEPT
6156,Clapham OSHClub,Barretts Road,Clapham,5062,-34.993358,138.603502,CARE,OSHC,Out of School Hours Care,DEPT
6158,Vale Park PS Happy Haven OSHC,40-56 Ascot Avenue,Vale Park,5081,-34.885256,138.626323,CARE,OSHC,Out of School Hours Care,DEPT
6161,Hawthorndene Primary School OSHC/Vac,Suffolk Road,Hawthorndene,5051,-35.020774,138.636088,CARE,OSHC,Out of School Hours Care,DEPT
6162,Paradise Primary School OSHC/Vac,100 George Street,Paradise,5075,-34.870802,138.68457,CARE,OSHC,Out of School Hours Care,DEPT
