id,school_name,school_address,suburb,postcode,school_type,school_lat,school_lon
149,O'Connor Cooperative School,MacPherson Street,O'Connor,2602,Primary School,-35.261994,149.120736
150,Palmerston District Primary,Kosciusko Avenue,Palmerston,2913,Primary School,-35.1975,149.120303
151,Red Hill Primary,Astrolabe Street,Red Hill,2603,Primary School,-35.339741,149.132893
152,Richardson Primary,May Gibbs Close,Richardson,2905,Primary School,-35.428859,149.113943
153,Southern Cross Early Childhood School,Wirraway Crescent,Scullin,2614,Primary School,-35.232767,149.038363
154,Taylor Primary,Marconi Crescent,Kambah,2902,Primary School,-35.378318,149.064261
155,Telopea Park School,New South Wales Crescent,Barton,2600,Primary School,-35.313804,149.134385
156,Theodore Primary,Lawrence-Wackett Crescent,Theodore,2905,Primary School,-35.447667,149.12396
157,Torrens Primary,Ritchie Street,Torrens,2607,Primary School,-35.370046,149.090949
158,Turner School,Condamine Street,Turner,2612,Primary School,-35.264995,149.126081
159,Wanniassa Hills Primary,Langdon Avenue,Wanniassa,2903,Primary School,-35.393069,149.095898
160,Wanniassa School,Sternberg Crescent,Wanniassa,2903,Primary School,-35.394992,149.086363
161,Weetangera Primary,Southwell Street,Weetangera,2614,Primary School,-35.251826,149.047137
162,Yarralumla Primary,Loftus Street,Yarralumla,2600,Primary School,-35.306948,149.103234
163,Alfred Deakin High,Denison Street,Deakin,2600,High School,-35.323849,149.094282
164,Amaroo School,Katherine Avenue,Amaroo,2914,High School,-35.163986,149.129705
165,Belconnen High,Murranji Street,Hawker,2614,High School,-35.246957,149.039298
166,Calwell High,Casey Crescent,Calwell,2905,High School,-35.441052,149.117635
167,Campbell High,Treloar Crescent,Campbell,2612,High School,-35.278101,149.147123
168,Canberra High,Bindubi Street,Macquarie,2614,High School,-35.251302,149.074517
169,Caroline Chisholm School,Hambidge Crescent,Chisholm,2905,High School,-35.418155,149.122047
170,Gold Creek School,Kelleway Street,Nicholls,2913,High School,-35.181275,149.100262
171,Harrison School,Nullabor Avenue,Harrison,2914,High School,-35.1975306,149.15164
172,University of Canberra High School - Kaleen,Baldwin Drive,Kaleen,2617,High School,-35.225083,149.1012
173,Kingsford Smith School,Cnr Hardwick Cres and Starke St,Holt,2615,High School,-35.227532,149.021001
174,Lanyon High,Heidelberg Street,Conder,2906,High School,-35.460389,149.09507
175,Lyneham High,Goodwin Street,Lyneham,2602,High School,-35.252379,149.130653
176,Melba Copland Secondary School,Conley Drive,Melba,2615,High School,-35.21254,149.059794
177,Melrose High,Marr Street,Pearce,2607,High School,-35.363475,149.089434
178,Mount Stromlo High School,Badimara Street,Waramanga,2611,High School,-35.355429,149.05436
179,Namadgi School,O'Halloran Circuit,Kambah,2902,High School,-35.393842,149.064431
180,Telopea Park School,New South Wales Crescent,Barton,2600,High School,-35.313804,149.134385
181,Wanniassa School,Wheeler Crescent,Wanniassa,2903,High School,-35.395277,149.085588
182,Alternative Education Program/Dickson College,Phillip Avenue,Dickson,2602,Specialist School/Education Centre,-35.248452,149.154143
183,Alternative Education Program/Canberra College,Fremantle Drive,Stirling,2611,Specialist School/Education Centre,-35.350801,149.049754
184,Birrigai Outdoor School,Tidbinbilla Road,Tharwa,2620,Specialist School/Education Centre,-35.444729,148.959975
185,Black Mountain  School,Dryandra Street,O'Connor,2602,Specialist School/Education Centre,-35.265224,149.112366
186,Cranleigh School,Starke Street,Holt,2615,Specialist School/Education Centre,-35.224913,149.02911
187,Hospital School (The)/Canberra Hospital,Yamba Drive,Garran,2605,Specialist School/Education Centre,-35.34513,149.10078
188,Instrumental Music Program c/o Kaleen High School,Baldwin Drive,Kaleen,2617,Specialist School/Education Centre,-35.225083,149.1012
189,Malkara School,Wisdom Street,Garran,2605,Specialist School/Education Centre,-35.337447,149.09402
190,Melrose Guidance and Counselling Service/Melrose HS,Marr Street,Pearce,2607,Specialist School/Education Centre,-35.363475,149.089434
191,Turner Early Childhood Centre,Condamine Street,Turner,2612,Specialist School/Education Centre,-35.264995,149.126081
192,Woden School (The),Denison Street,Deakin,2600,Specialist School/Education Centre,-35.326599,149.092398
193,Northside Primary Introductory English Centre (at North Ainslie Primary School),Majura Avenue,Ainslie,2602,Introductory English Centre,-35.254797,149.145509
194,Southside Primary Introductory English Centre (at Hughes Primary School),Kent Street,Hughes,2605,Introductory English Centre,-35.332248,149.093456
195,Secondary Introductory English Centre (at Dickson College),Phillip Avenue,Dickson,2602,Introductory English Centre,-35.249,149.153
196,Belconnen Primary Introductory English Centre (at Charnwood Dunlop Primary School),Bettington Circuit,Charnwood,2615,Introductory English Centre,-35.19876,149.03622
197,Tuggeranong Introductory English Centre (at Wanniassa Hills Primary School),Langdon Avenue,Wanniassa,2903,Introductory English Centre,-35.39282,149.09216
198,Gungahlin Primary Introductory English Centre (at Palmerston District Primary School),Kosciuszko Avenue,Palmerston,2913,Introductory English Centre,-35.1975,149.120303
199,Blue Gum Community School,Maitland Street,Hackett,2602,Independent Community,-35.249947,149.162514
200,Brindabella Christian College - Lyneham Campus,Brigalow Street,Lyneham,2602,Independent Christian,-35.249003,149.127639
201,Brindabella Christian College - Charnwood campus,Lhotsky Street,Charnwood,2615,Independent Christian,-35.203094,149.0300714
202,Burgmann Anglican School - Valley Campus,Cnr Gungahlin Drive & The Valley Avenue,Gungahlin,2912,Independent Anglican,-35.188529,149.123672
203,Burgmann Anglican School - Ford Campus,Cnr Francis Forde Boulevarde & Hurrell Street,Forde,2914,Independent Anglican,-35.1709074,149.1428459
204,Canberra Christian School,Ainsworth Street,Mawson,2607,Independent Christian,-35.356475,149.097963
205,Canberra Girls' Grammar School,Melbourne Avenue,Deakin,2600,Independent Anglican,-35.31699,149.115115
206,Canberra Girls' Grammar School - Junior school campus,Grey Street,Deakin,2600,Independent Anglican,-35.312126,149.110759
207,Canberra Grammar School,Monaro Crescent,Red Hill,2603,Independent Anglican,-35.330919,149.124674
208,Canberra Grammar School - Junior school campus,Alexander Street,Red Hill,2603,Independent Anglican,-35.332344,149.124691
209,Canberra Grammar School - Southside - early childhood campus,Alexander Street,Red Hill,2603,Independent Anglican,-35.332344,149.124691
210,Canberra Grammar School - Northside - early childhood campus,Blamey Crescent,Campbell,2612,Independent Anglican,-35.285316,149.147091
211,Canberra Montessori School,Mulley Street,Holder,2611,Independent Montessori,-35.332247,149.051068
