id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
5287,St Therese's School (Bentley Park),135 Robert Road,Bentley Park,4869,Catholic,Prep Year to Year 6,-17.006452,145.73129699999998
5374,St Thomas More College (Sunnybank),Cnr Troughton Road and Turton Street,Sunnybank,4109,Catholic,Year 7 to Year 12,-27.573752000000002,153.048958
5428,St Thomas More Primary School (Sunshine Beach),Ben Lexcen Drive,Sunshine Beach,4567,Catholic,Prep Year to Year 6,-26.405927000000002,153.101774
5188,St Thomas More's Primary School (Toowoomba),152 South Street,Toowoomba,4350,Catholic,Prep Year to Year 6,-27.580103,151.962062
5288,St Thomas' School  (Mareeba),63 Constance Street,Mareeba,4880,Catholic,Prep Year to Year 6,-16.995296,145.42546299999998
5103,St Thomas' School (Camp Hill),10 Stephen Street,Camp Hill,4152,Catholic,Prep Year to Year 6,-27.487145,153.071981
5404,St Ursula's College (Toowoomba),38 Taylor Street,Toowoomba,4350,Catholic,Year 7 to Year 12,-27.555543,151.94108500000002
5419,St Ursula's College (Yeppoon),Queen Street,Yeppoon,4703,Catholic,Year 7 to Year 12,-23.130081,150.743447
5135,St Vincent's Primary School (Surfers Paradise),Fairway Drive,Clear Island Waters,4226,Catholic,Prep Year to Year 6,-28.035498999999998,153.40258300000002
5105,St William's Primary School (Grovely),67 Dawson Parade,Grovely,4054,Catholic,Prep Year to Year 6,-27.408018,152.962332
1016,Stafford Heights State School,95 Redwood Street,Stafford Heights,4053,State,Early Childhood to Year 6,-27.40193,153.004077
487,Stafford State School,314 Stafford Road,Stafford,4053,State,Prep Year to Year 6,-27.410718,153.017477
5423,Staines Memorial College (Redbank Plains),227 School Road,Redbank Plains,4301,Independent,Prep Year to Year 12,-27.668702000000003,152.851815
2064,Stanthorpe State High School,2 McGlew Street,Stanthorpe,4380,State,Year 7 to Year 12,-28.645690999999996,151.931775
132,Stanthorpe State School,Marsh Street,Stanthorpe,4380,State,Early Childhood to Year 6,-28.649859999999997,151.9343
129,Stanwell State School,10 Teakle Street,Stanwell,4702,State,Prep Year to Year 6,-23.485269,150.321598
5197,Star of the Sea Catholic Primary School (Gladstone),181 Goondoon Street,Gladstone,4680,Catholic,Prep Year to Year 6,-23.847488000000002,151.25798899999998
5134,Star of the Sea Catholic School (Torquay),Hughes Road,Torquay,4655,Catholic,Prep Year to Year 6,-25.306957999999998,152.873996
5735,Star of the Sea Primary School (Cleveland),53 Passage Street,Cleveland,4163,Catholic,Prep Year to Year 6,-27.528987,153.27916499999998
5138,Stella Maris School (Maroochydore),McKenzie Drive,Maroochydore,4558,Catholic,Prep Year to Year 6,-26.653734000000004,153.07187
933,Stonehenge State School,27 Bulford Street,Stonehenge,4730,State,Early Childhood to Year 6,-24.350755,143.287417
1245,Strathpine State School,Don Court,Strathpine,4500,State,Prep Year to Year 6,-27.293907,152.990241
1910,Strathpine West State School,Garbala Drive,Strathpine,4500,State,Prep Year to Year 6,-27.306039000000002,152.969929
5554,Stretton State College,226 Illaweena Street,Stretton,4116,State,Prep Year to Year 12,-27.639591999999997,153.05374
5096,Sts Peter and Paul's School (Bulimba),33 Alexandra Street,Bulimba,4171,Catholic,Prep Year to Year 6,-27.459006,153.06409299999999
5362,Stuartholme School (Toowong),365 Birdwood Terrace,Toowong,4066,Catholic,Year 7 to Year 12,-27.470139,152.974409
622,Sunbury State School,545 Alice Street,Maryborough,4650,State,Prep Year to Year 6,-25.525157,152.6778
5864,Suncoast Christian College (Woombye),Cnr Schubert and Kiel Mountain Roads,Woombye,4559,Independent,Prep Year to Year 12,-26.665898,152.977708
1889,Sunnybank Hills State School,77 Symons Road,Sunnybank Hills,4109,State,Prep Year to Year 6,-27.5952,153.05624
3078,Sunnybank Special School,79 Troughton Road,Sunnybank,4109,State,Early Childhood to Year 12,-27.572143,153.048337
2080,Sunnybank State High School,Boorman Street,Sunnybank,4109,State,Year 7 to Year 12,-27.576218,153.059783
62,Sunnybank State School,50 Eddington Street,Sunnybank,4109,State,Prep Year to Year 6,-27.57569,153.051486
965,Sunset State School,Abel Smith Parade,Sunset,4825,State,Prep Year to Year 6,-20.708933,139.510351
2108,Sunshine Beach State High School,45 Ben Lexcen Drive,Sunshine Beach,4567,State,Year 7 to Year 12,-26.410406,153.100705
1917,Sunshine Beach State School,105 Ben Lexcen Drive,Sunshine Beach,4567,State,Prep Year to Year 6,-26.402724,153.102324
599,Sunshine Coast Grammar School (Forest Glen),372 Mons Road,Forest Glen,4556,Independent,Prep Year to Year 12,-26.686147,153.00434199999998
142,Surat State School,55 Robert Street,Surat,4417,State,Prep Year to Year 10,-27.154328999999997,149.06706200000002
1295,Surfers Paradise State School,42 St Andrews Avenue,Surfers Paradise,4217,State,Prep Year to Year 6,-28.011937,153.420755
1595,Swayneville State School,952 Sarina Marlborough Road,Sarina,4737,State,Prep Year to Year 6,-21.472625,149.144055
1096,Taabinga State School,Rae Street,Kingaroy,4610,State,Prep Year to Year 6,-26.556389000000003,151.83818
5726,Tagai State College,31 Hargrave Street,Thursday Island,4875,State,Early Childhood to Year 12,-10.581798,142.22120800000002
1112,Taigum State School,266 Handford Road,Taigum,4018,State,Early Childhood to Year 6,-27.347859000000003,153.040202
462,Talara Primary College,Talara Street,Currimundi,4551,State,Early Childhood to Year 6,-26.772477000000002,153.11791200000002
201,Tallebudgera State School,492 Guineas Creek Road,Tallebudgera,4228,State,Prep Year to Year 6,-28.13996,153.429814
1615,Talwood State School,17 Recreation Street,North Talwood,4496,State,Prep Year to Year 6,-28.486682000000002,149.470396
150,Tambo State School,20 Mitchell Street,Tambo,4478,State,Early Childhood to Year 10,-24.884526,146.253757
9,Tamborine Mountain College (North Tamborine),80 Beacon Road,North Tamborine,4272,Independent,Prep Year to Year 12,-27.92728,153.17631
2265,Tamborine Mountain State High School,Holt Road,Tamborine Mountain,4272,State,Year 7 to Year 12,-27.932894,153.19009599999998
913,Tamborine Mountain State School,Curtis Road,Tamborine Mountain,4272,State,Prep Year to Year 6,-27.9308,153.200288
1252,Tamrookum State School,9019 Mount Lindesay Highway,Tamrookum,4285,State,Prep Year to Year 6,-28.106476,152.915572
1446,Tanduringie State School,32 Tanduringie School Road,Pimpimbudgee,4615,State,Prep Year to Year 6,-26.891655,151.795413
231,Tannum Sands State High School,65 Coronation Drive,Tannum Sands,4680,State,Year 7 to Year 12,-23.959626999999998,151.364315
1921,Tannum Sands State School,Waratah Crescent,Tannum Sands,4680,State,Prep Year to Year 6,-23.950985,151.36484199999998
1357,Tara Shire State College,22 Binnie Street,Tara,4421,State,Early Childhood to Year 12,-27.279912,150.458899
271,Tarampa State School,18 Manthey Road,Tarampa,4311,State,Prep Year to Year 6,-27.487128000000002,152.54618200000002
1992,Taranganba State School,Taranganba Road,Taranganba,4703,State,Prep Year to Year 6,-23.154601,150.754215
105,Taroom State School,Wolsey Street,Taroom,4420,State,Prep Year to Year 10,-25.638957,149.800578
5687,Tec-NQ (Douglas),54 Discovery Drive,Douglas,4814,Independent,Year 10 to Year 12,-19.3221,146.764229
494,Teelba State School,Teelba Road,Teelba,4423,State,Early Childhood to Year 6,-27.534503000000004,149.393939
106,Tent Hill Lower State School,90 Lower Tenthill Road,Lower Tenthill,4343,State,Prep Year to Year 6,-27.591555,152.236121
